id,lat,lon
BNA0253,49.293248,6.770937
BNA0255,50.978567,11.05158
BNA0256a,50.989612,11.027635
BNA0256b,50.989612,11.027635
BNA0259,48.2935129,13.1585196
BNA0261a,49.59297,11.00162
BNA0261b,49.59283,11.00148
BNA0261c,49.593492,11.001093
BNA0263,48.6046,12.29507
BNA0268,51.22475,7.99281
BNA0269,54.80506,9.43238
BNA0270,54.80495,9.43244
BNA0271,54.80495,9.43244
BNA0272,54.80495,9.43244
BNA0273,54.80495,9.43244
BNA0274,54.80495,9.43244
BNA0277,50.022602,8.377209
BNA0278,48.6731884,8.355705841
BNA0279,48.6693835,8.353047617
BNA0283,50.12943,8.76792
BNA0284,52.346,14.546
BNA0285,50.0856,8.62785
BNA0286,50.09843,8.65313
BNA0287a,50.16173,8.63596
BNA0287b,50.16171,8.63625
BNA0288,50.0856,8.62785
BNA0289a,50.09847,8.65303
BNA0289b,50.09843,8.65313
BNA0290,50.09843,8.65313
BNA0292,50.8976,6.793099
BNA0293,48.020738,7.84588
BNA0302,51.05744518,6.577080395
BNA0303,51.05744518,6.577080395
BNA0304,51.05744518,6.577080395
BNA0305,51.05744518,6.577080395
BNA0306,51.05744518,6.577080395
BNA0307,51.05744518,6.577080395
BNA0308,51.05744518,6.577080395
BNA0309,51.05744518,6.577080395
BNA0310,51.05744518,6.577080395
BNA0311,51.05744518,6.577080395
BNA0312,51.05744518,6.577080395
BNA0313,51.05744518,6.577080395
BNA0314,51.05744518,6.577080395
BNA0318,50.56636,9.68614
BNA0324,48.15395,12.31107
BNA0327,53.42605,10.3359
BNA0328,53.42605,10.3359
BNA0329,53.42605,10.3359
BNA0330,51.57217554,7.111570552
BNA0331,51.60236802,7.009894096
BNA0332,51.60236802,7.009894096
BNA0333,51.60236802,7.009894096
BNA0334,51.60236802,7.009894096
BNA0335,51.60236802,7.009894096
BNA0336,51.59696,7.00452
BNA0337,50.05313,9.58137
BNA0343,50.9076,12.06102
BNA0347,48.62833,10.20078
BNA0350,50.50975864,11.02087498
BNA0351,50.50975864,11.02087498
BNA0352,50.50975864,11.02087498
BNA0353,50.50975864,11.02087498
BNA0354,51.55337,9.93374
BNA0355,49.984424,10.181753
BNA0360,54.07039,13.39886
BNA0361,47.53971,7.706923
BNA0362,47.5523554,7.6580881
BNA0364,48.5195636,13.7085052
BNA0369,51.161368,12.781496
BNA0373,51.29192,11.94645
BNA0374,50.088553,8.953399
BNA0375,50.088553,8.953399
BNA0376,50.088553,8.953399
BNA0377,50.088553,8.953399
BNA0378,48.761412,11.503001
BNA0379,48.761412,11.503001
BNA0380,51.5929,14.0241
BNA0381,48.51504,10.4015648
BNA0382,48.51608,10.39822
BNA0385,51.91537,8.40031
BNA0386,51.907326,8.408835
BNA0388,51.411114,7.491698
BNA0389,51.41103,7.49171
BNA0392a,51.48096,11.96427
BNA0392b,51.52353,11.94337
BNA0395,51.491,6.72749
BNA0396,51.491,6.72749
BNA0397,51.500603,6.730319
BNA0398,53.52088514,9.934773445
BNA0399,53.53188044,10.07459164
BNA0400,53.52672755,10.06583691
BNA0401,53.517684,9.950793
BNA0402,53.52616631,10.06317616
BNA0403,53.56695702,9.724445343
BNA0404,53.56695702,9.724445343
BNA0407,52.09875,9.38821
BNA0408,52.09875,9.38821
BNA0410,51.67395,7.92915
BNA0411,51.67395,7.92915
BNA0413,51.68061,7.97034
BNA0413a,51.680278,7.969722
BNA0413b,51.680278,7.969722
BNA0413c,51.680278,7.969722
BNA0414,51.67782,7.9742
BNA0415,51.67782,7.9742
BNA0417,52.41178,9.85297
BNA0418,52.372917,9.714194
BNA0419,52.42,9.648611
BNA0420,52.42,9.648611
BNA0421,52.42,9.648611
BNA0422,49.48712,11.47479
BNA0426,47.75459,8.18787
BNA0427,47.752396,11.839802
BNA0428,47.752396,11.839802
BNA0429,47.752396,11.839802
BNA0430,47.752396,11.839802
BNA0432,49.177334,9.206318
BNA0433,49.177334,9.206318
BNA0434,49.177334,9.206318
BNA0435,53.15113,12.37706
BNA0438,52.17138,10.97637
BNA0439,52.17237156,10.97682873
BNA0442,51.40313,7.4155
BNA0443,51.41048,7.45314
BNA0444,50.89401,9.99724
BNA0447,51.550753,7.187481
BNA0448,51.52849121,7.17779686
BNA0449,51.550753,7.187481
BNA0450,51.550753,7.187481
BNA0464,52.3150224,10.09141738
