company,name,street,postcode,city,country,capacity,energy_source,technology,additional_info,type,chp,commissioned,comment,source,eic_code,lat,lon
,Tokke G3,,,,NO,103,Hydro,Reservoir,Zone: NO-2,,,,,Nordpool,50WP00000000745M,59.444742,8.037991
,Tokke G4,,,,NO,103,Hydro,Reservoir,Zone: NO-2,,,,,Nordpool,50WP00000000745M,59.444742,8.037991
,Tonstad G1,,,,NO,160,Hydro,Reservoir,Zone: NO-2,,,,,Nordpool,50WP00000000747I,58.659281,6.717194
,Tonstad G2,,,,NO,160,Hydro,Reservoir,Zone: NO-2,,,,,Nordpool,50WP00000000747I,58.659281,6.717194
,Tonstad G3,,,,NO,160,Hydro,Reservoir,Zone: NO-2,,,,,Nordpool,50WP00000000747I,58.659281,6.717194
,Tonstad G4,,,,NO,160,Hydro,Reservoir,Zone: NO-2,,,,,Nordpool,50WP00000000747I,58.659281,6.717194
,Tonstad G5,,,,NO,320,Hydro,Reservoir,Zone: NO-2,,,,,Nordpool,50WP00000000747I,58.659281,6.717194
,Trollheim G1,,,,NO,130,Hydro,Reservoir,Zone: NO-3,,,,,Nordpool,50WP00000000755J,63.002761,9.019152
,Tyin G1,,,,NO,195,Hydro,Reservoir,Zone: NO-5,,,,,Nordpool,50WP00000000771L,61.31018,7.83131
,Tyin G2,,,,NO,195,Hydro,Reservoir,Zone: NO-5,,,,,Nordpool,50WP00000000771L,61.31018,7.83131
,Tysso 2 G1,,,,NO,110,Hydro,Reservoir,Zone: NO-2,,,,,Nordpool,50WP00000000775D,60.12838,6.629255
,Tysso 2 G2,,,,NO,110,Hydro,Reservoir,Zone: NO-2,,,,,Nordpool,50WP00000000775D,60.12838,6.629255
,Vamma G11,,,,NO,105,Hydro,Reservoir,Zone: NO-1,,,,,Nordpool,,59.542616,11.170011
,Vemork G1,,,,NO,101,Hydro,Reservoir,Zone: NO-2,,,,,Nordpool,50WP00000000807Q,59.87119,8.49219
,Vemork G2,,,,NO,101,Hydro,Reservoir,Zone: NO-2,,,,,Nordpool,50WP00000000807Q,59.87119,8.49219
,Vinje G1,,,,NO,103,Hydro,Reservoir,Zone: NO-2,,,,,Nordpool,50WP00000000822U,59.61641,7.856513
,Vinje G2,,,,NO,103,Hydro,Reservoir,Zone: NO-2,,,,,Nordpool,50WP00000000822U,59.61641,7.856513
,Vinje G3,,,,NO,103,Hydro,Reservoir,Zone: NO-2,,,,,Nordpool,50WP00000000822U,59.61641,7.856513
