company,name,street,postcode,city,country,capacity,energy_source,technology,additional_info,type,chp,commissioned,comment,source,eic_code,lat,lon
,Melk,,,,AT,187.0,Hydro,Run-of-river,,,,1982.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,14W-BME-KW-----Q,48.223472,15.304143
,Mellach Laufkraftwerk,,,,AT,16.0,Hydro,Run-of-river,,,,1985.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,46.911629,15.486243
,Mühldorf,,,,AT,1.0,Hydro,Run-of-river,,,,1925.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,46.860839,13.347763
,Mühlrading,,,,AT,25.0,Hydro,Run-of-river,,,,1948.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,48.131686,14.473996
,Neuötting,,,,AT,26.0,Hydro,Run-of-river,,,,1951.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,48.249729,12.691057
,Niklai,,,,AT,2.0,Hydro,Run-of-river,,,,1960.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,46.823629,13.295556
,Nussdorf,,,,AT,48.0,Hydro,Run-of-river,,,,1982.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.744692,12.134782
,Nußdorf bei Wien,,,,AT,5.0,Hydro,Run-of-river,,,,2005.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,48.259257,16.369185
,Oberaudorf-Ebbs,,,,AT,60.0,Hydro,Run-of-river,,,,1992.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.641158,12.1984
,Obervogau,,,,AT,13.0,Hydro,Run-of-river,,,,1978.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,46.745776,15.571428
,Ottensheim-Wilhering,,,,AT,179.0,Hydro,Run-of-river,,,,1975.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,14W-BOW-KW-----9,48.3165,14.151057
,Pack,,,,AT,1.0,Hydro,Reservoir,,,,1931.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,46.979012,15.022876
,Passau-Ingling,,,,AT,86.0,Hydro,Run-of-river,,,,1966.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,48.553672,13.435228
,Paternion,,,,AT,24.0,Hydro,Run-of-river,,,,1988.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,46.720841,13.645572
,Peggau,,,,AT,13.0,Hydro,Run-of-river,,,,1965.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.20926,15.335656
,Pernegg,,,,AT,22.0,Hydro,Run-of-river,,,,2013.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.365229,15.334486
,Pichlern,,,,AT,2.0,Hydro,Run-of-river,,,,2005.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,48.022415,14.322989
,Pöls,,,,AT,2.0,Hydro,Run-of-river,,,,1904.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.217744,14.599075
,Rabenstein,,,,AT,14.0,Hydro,Run-of-river,,,,1987.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.251148,15.31034
,Ramsaubach,,,,AT,1.0,Hydro,Run-of-river,,,,1985.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.531152,14.886815
,Reißeck Jahresspeicher,,,,AT,68.0,Hydro,Reservoir,,,,1962.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,46.873171,13.311824
,Reißeck Tagesspeicher,,,,AT,23.0,Hydro,Reservoir,,,,1953.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,46.87281,13.311533
