Vannkraftverk

Løpenummer;Navn;Type;Hovedeier;Org.nr. hovedeier;Fylke;Fylkesnr.;Kommune;Kommunenr.;Dato for første utnyttelse av fallet;Dato for eldste kraftproduserende del;Maks ytelse [MW];Midl. årsproduksjon (ref. 1981-2010) [GWh];Brutto fallhøyde [m];Maksimal slukeevne [m3/s];Energiekvivalent [kWh/m3];Elspotområde;Reginenr.
1899;Lysebotn 2;Kraftverk;LYSE PRODUKSJON AS;980335216;Rogaland;11;Sandnes;08;1953-01-08;2018-04-18;370;1500;669,7;60;1,713;2;031.AZ;
258;Lysvatn;Kraftverk;MELØY ENERGI AS;977106184;Nordland;18;Meløy;37;1963-03-17;1963-03-17;4,1;27,3042;284;1,6;0,712;4;160.41B;
1164;Løa;Kraftverk;PER SJØLIE;969106612;Innlandet;34;Åmot;22;1999-01-01;1999-01-01;0,35;1,4;;;;1;002.JC7;
1365;Løgjen;Kraftverk;DALANE KRAFT AS;982388406;Rogaland;11;Lund;12;2007-09-05;2007-09-05;0,57;2,3;36,7;;;2;026.B2Z;
259;Løkaunet;Kraftverk;STATKRAFT ENERGI AS;987059729;Trøndelag;50;Trondheim ;01;1926-01-01;1926-01-01;9,3;7,2792;52;23,92;0,108;3;123.A7;
260;Løpet;Kraftverk;E-CO ENERGI AS;976894677;Innlandet;34;Åmot;22;1971-07-01;1971-07-01;29;163,1;18,89;176;0,046;1;002.JB1;
1000;Madalen;Kraftverk;MADALEN MIKROKRAFTVERK AS;921140479;Vestland;46;Kvinnherad;17;2003-01-01;2003-01-01;0,12;0,56;;;;2;042.93C;
1487;Madland;Kraftverk;MADLAND KRAFT AS;992313897;Rogaland;11;Gjesdal;22;2010-02-19;2010-02-19;1,875;8,5;84;1,7;;2;030.1F;
962;Mago A;Kraftverk;E-CO ENERGI AS;976894677;Viken;30;Eidsvoll;35;1984-01-01;1984-01-01;0,77;4,8;;;;1;002.DAA1Z;
963;Mago B;Kraftverk;E-CO ENERGI AS;976894677;Viken;30;Eidsvoll;35;1960-01-01;1960-01-01;0,86;5;7,8;14;;1;002.DAA;
964;Mago C;Kraftverk;E-CO ENERGI AS;976894677;Viken;30;Eidsvoll;35;1978-01-01;1978-01-01;0,78;6;;;;1;002.DAA;
261;Mago D;Kraftverk;E-CO ENERGI AS;976894677;Viken;30;Eidsvoll;35;1980-01-01;1980-01-01;1,6;6,3093;8;26,13;0,017;1;002.DAA11;
1714;Makkoren;Kraftverk;STATKRAFT ENERGI AS;987059729;Vestland;46;Høyanger;38;2012-11-23;2012-11-23;4;17,8;93;4,9;0,227;3;079.BB2A;
1112;Malmo;Kraftverk;MALMO ELEKTRISITETSVERK AS;979400152;Trøndelag;50;Steinkjer;06;1997-01-01;1997-01-01;0,7;2,589;;;;3;129.3Z;
905;Mandelid;Kraftverk;GUNNAR OSLAND;969828723;Vestland;46;Askvoll;45;2000-01-01;2000-01-01;0,125;0,83;;;;3;084.5D;
1851;Mannsberg;Kraftverk;NORSK HYDRO RJUKAN NÆRINGSPARK;974283646;Vestland;46;Årdal;43;2016-11-11;2016-11-11;3,52;15,1;160,34;2,6;0,376;5;074.CB6AZ;
262;Mardal;Pumpe;STATKRAFT ENERGI AS;987059729;Møre og Romsdal;15;Molde;06;1975-01-01;1975-01-01;-6;-22,5223;0;4;-0,416;3;104.B3C;
1414;Maribu;Kraftverk;NORDMARK TORBJØRN TØMMERMANN;971055537;Rogaland;11;Suldal;34;2008-06-16;2008-06-16;0,09;0,5;110;0,09;0,278;2;035.7A0;
870;Marifjøra;Kraftverk;;;Vestland;46;Luster;44;2001-01-01;2001-01-01;0,09;0,32;;;;5;076.2Z;
1348;Markjelkevatn;Pumpe;STATKRAFT ENERGI AS;987059729;Vestland;46;Kvinnherad;17;2007-01-01;2007-01-01;-1,2;-3,6;;0,8;;5;046.4BA2A;
1555;Marvik;Kraftverk;FOSSEKALLEN KRAFT AS;991440569;Rogaland;11;Suldal;34;2008-10-14;2008-10-14;0,786;2,2;207;0,47;0,465;2;037.61;
263;Matre H;Kraftverk;BKK PRODUKSJON AS;876944642;Vestland;46;Masfjorden;34;1957-01-01;2016-04-13;180;679,9;528,5;37,7;1,326;5;067.2Z;
264;Matre M;Kraftverk;BKK PRODUKSJON AS;876944642;Vestland;46;Masfjorden;34;1962-01-01;1962-01-01;150;817,8172;463;37,3;1,117;5;067.3Z;
737;Mattisfoss;Kraftverk;ALTA KRAFTLAG SA;971029390;Troms og Finnmark Romsa ja Finnmárku;54;Alta;03;1993-01-01;1993-01-01;2,3;16,1948;56;4,8;0,133;4;212.4Z;
265;Maudal;Kraftverk;LYSE PRODUKSJON AS;980335216;Rogaland;11;Gjesdal;22;1930-09-07;1930-09-07;25,5;101,0913;300;10;0,708;2;027.E6;
266;Mauranger;Kraftverk;STATKRAFT ENERGI AS;987059729;Vestland;46;Kvinnherad;17;1974-03-20;1974-03-20;250;1145,972;830;36;1,929;5;046.32A1A;
1320;Medåe;Kraftverk;MEDÅE KRAFT AS;988861049;Viken;30;Rollag;51;2007-04-09;2007-04-09;0,784;4,6;;;;1;015.G60;
1086;Medås;Kraftverk;;;Vestland;46;Voss;21;2000-01-01;2000-01-01;0,02;0,13;;;;5;052.1B;
894;Mehammer Mikrokraftverk I;Kraftverk;;;Vestland;46;Stord;14;2000-01-01;2000-01-01;0,012;0,021;140;;;2;044.130;
895;Mehammer Mikrokraftverk II;Kraftverk;;;Vestland;46;Stord;14;2005-01-01;2005-01-01;0,018;0,0319;;;;2;044.130;
1426;Meierifossen;Kraftverk;MEIERIFOSSEN KRAFTVERK AS;987122234;Vestland;46;Sunnfjord;47;2008-08-27;2008-08-27;1,36;5,3;36;4,7;0,08;3;084.E4Z;
1368;Meisal I;Kraftverk;NESSET KRAFT AS;981375521;Møre og Romsdal;15;Molde;06;1936-01-01;1936-01-01;0,9;2;222;0,44;;3;109.2Z;
766;Meisal II;Kraftverk;NESSET KRAFT AS;981375521;Møre og Romsdal;15;Molde;06;1999-01-01;1999-01-01;4,1;24,6174;605;0,8;1,424;3;109.2Z;
549;Mel;Kraftverk;SFE PRODUKSJON AS;984882106;Vestland;46;Sogndal;40;1989-02-24;1989-02-24;52;193,2259;810;7,5;1,926;3;078.5Z;
1811;Mela;Kraftverk;SMÅKRAFT GREEN BOND 1 AS;921075758;Trøndelag;50;Snåase %u2013 Snåsa;41;2017-06-22;2017-06-22;3,74;12,7;259;1,73;0,601;3;128.E3Z;
1918;Melheim;Kraftverk;OLA RONNY MELHEIM;997765826;Vestland;46;Stad;49;2013-01-01;2013-01-01;0,05;0,29;11;0,6;0,023;3;089.B4Z;
267;Melkefoss;Kraftverk;PASVIK KRAFT AS;982795745;Troms og Finnmark Romsa ja Finnmárku;54;Sør-Varanger;44;1978-09-01;1978-09-01;22;141,1115;10,19;254,63;0,024;4;246.C1;
1672;Mellomjord 2;Kraftverk;ÅSMUND GUTTORMSEN;869406732;Troms og Finnmark Romsa ja Finnmárku;54;Tromsø;01;2008-01-01;2008-01-01;0,018;0,13;140;0,02;0,25;4;203.51;
1009;Memurubu;Kraftverk;MEMURUBU TURISTHYTTE AS;982163013;Innlandet;34;Lom;34;1972-01-01;1972-01-01;0,06;0;111;0,063;;3;002.DGG1Z;
619;Meråker;Kraftverk;NTE ENERGI AS;988340715;Trøndelag;50;Meråker;34;1994-04-18;1994-04-18;86,8;463,7812;263,7;36,7;0,657;3;124.D0;
268;Mesna;Kraftverk;E-CO ENERGI AS;976894677;Innlandet;34;Lillehammer;05;1985-04-10;1985-04-10;37,5;135,6518;356;12;0,868;1;002.DD5A1;
1279;Middagsbukt;Kraftverk;;;Troms og Finnmark Romsa ja Finnmárku;54;Balsfjord;22;2007-01-01;2007-01-01;0,006;0,03;;;;4;198.31;
269;Middyr;Kraftverk;NORSK HYDRO RJUKAN NÆRINGSPARK;974283646;Vestland;46;Ullensvang;18;1981-01-01;1981-01-01;1,2999;5,3323;66;2,41;0,15;2;036.G1E;
1794;Middøla;Kraftverk;SMÅKRAFT AS;984616155;Vestfold og Telemark;38;Tinn;18;2015-01-05;2015-01-05;4,36;12,5;276,7;1,9;0,637;2;016.H1A;
1850;Midtlæger;Kraftverk;NORSK HYDRO RJUKAN NÆRINGSPARK;974283646;Vestland;46;Ullensvang;18;2016-09-01;2016-09-01;3,47;13,8;153,5;2,6;0,371;2;036.FB;
270;Midtre Tessa;Kraftverk;AS EIDEFOSS;911305631;Innlandet;34;Vågå;35;1954-02-12;1954-02-12;7;18,2971;159,5;5,44;0,356;3;002.DHB2A0;
1755;Midtun;Kraftverk;MIDTUNKRAFT AS;998475368;Vestland;46;Gulen;35;2014-01-07;2014-01-07;0,65;2;111,3;0,7;0,258;5;068.72Z;
1992;Milja;Kraftverk;OLSETH MAGNE;969906228;Vestland;46;Etne;11;2019-08-14;2019-08-14;0,12;0,55;56,95;0,28;0,121;2;042.121;
1715;Misfjord;Kraftverk;MISFJORD KRAFT AS;997426193;Møre og Romsdal;15;Vestnes;35;2012-11-21;2012-11-21;1,4;4;248;0,67;0,58;3;102.51;
1809;Mjeldeelva;Kraftverk;SMÅKRAFT AS;984616155;Troms og Finnmark Romsa ja Finnmárku;54;Tromsø;01;2016-06-02;2016-06-02;1,64;5,7;140,3;1,42;0,321;4;197.42;
1304;Mjella;Kraftverk;BREKKE GÅRD Line Berget Hedegart;980350479;Vestfold og Telemark;38;Notodden;08;2007-11-15;2007-11-15;0,2;1,1;152;0,2;0,278;2;016.F613;
271;Mo;Kraftverk;LØVENSKIOLD FOSSUM KRAFT;982699614;Vestfold og Telemark;38;Skien;07;1908-01-10;1908-01-10;2,3;13,3096;65;4,7;0,136;2;016.AC1;
778;Mo;Kraftverk;SUNNFJORD ENERGI AS;916501420;Vestland;46;Sunnfjord;47;2000-08-01;2000-08-01;10;39,5399;550;2,2;1,263;3;084.C;
970;Mobæk Mølle;Kraftverk;OLE-KRISTIAN MOBÆK;994185551;Viken;30;Nes;34;1942-01-01;1942-01-01;0,025;0,075;;;;1;002.E2AA;
1125;Moe;Kraftverk;;;Vestfold og Telemark;38;Bamble;13;1995-01-01;1995-01-01;0,005;0,03;;;;2;017.2Z;
786;Moelv;Kraftverk;E-CO ENERGI AS;976894677;Innlandet;34;Ringsaker;11;2001-01-01;2001-01-01;1,2;6,288;57;2,5;0,133;1;002.DD1A4;
1611;Mofjellet;Kraftverk;STATKRAFT ENERGI AS;987059729;Nordland;18;Rana;33;2011-08-29;2011-08-29;0,597;2,6;287;0,25;0,663;4;156.AA;
273;Moflåt;Kraftverk;NORSK HYDRO RJUKAN NÆRINGSPARK;974283646;Vestfold og Telemark;38;Tinn;18;1954-01-01;1954-01-01;30;140,489;47,5;78;0,107;2;016.H4;
997;Moi;Kraftverk;MOI ELVERK AS;974429063;Rogaland;11;Lund;12;1997-01-01;1997-01-01;0,5;2;;;;2;026.BA22;
274;Moksa;Kraftverk;GUDBRANDSDAL ENERGI PRODUKSJON AS;941739601;Innlandet;34;Øyer;40;1990-03-09;1990-03-09;15;52,1576;501;3,5;1,19;1;002.DE3A0;
1012;Molla;Kraftverk;;;Rogaland;11;Sauda;35;2003-01-01;2003-01-01;0,44;1,472;130;;;2;037.111;
1607;Momrak;Kraftverk;MOMRAK KRAFTLAG AS;992803118;Vestfold og Telemark;38;Fyresdal;23;2011-06-30;2011-06-30;1;4;194;0,6;0,462;2;019.DB1;
1057;Monabekken;Kraftverk;SVEIN GILJE;974339749;Rogaland;11;Gjesdal;22;1987-01-01;1987-01-01;0,048;0,21;172;;;2;030.2A20;
1131;Mone;Kraftverk;;;Agder;42;Birkenes;16;2006-01-01;2006-01-01;0,05;0,2;;;;2;020.A6;
276;Monge;Pumpe;STATKRAFT ENERGI AS;987059729;Møre og Romsdal;15;Rauma;39;1975-01-01;1975-01-01;-0,8;-3,7711;0;1,29;-0,171;3;103.A2B;
277;Morkenfoss;Kraftverk;SMÅKRAFT AS;984616155;Trøndelag;50;Flatanger;49;1986-10-01;1986-10-01;2,1;11,5044;50,5;4,98;0,117;3;137.7D;
1621;Mortensdalelva;Kraftverk;NORDIC POWER AS;914341183;Troms og Finnmark Romsa ja Finnmárku;54;Storfjord-Omasvuotna-Omasvuono;25;2012-06-15;2012-06-15;2,1;5,5;295;0,92;0,634;4;204.AZ;
1598;Mosbakka;Kraftverk;MOSBAKKA KRAFT AS;990068267;Rogaland;11;Sauda;35;2010-04-30;2010-04-30;4,05;12,8;381,5;1,2;0,938;2;037.3Z;
1315;Mosbekken;Kraftverk;;;Trøndelag;50;Skaun;29;2005-01-01;2005-01-01;0,006;0,032;;;;3;122.1C;
1088;Moskenes Fiskeindustri;Kraftverk;;;Nordland;18;Moskenes;74;1995-01-01;1995-01-01;0,075;0,15;;;;4;181.431;
278;Mossefossen;Kraftverk;MOSSEFOSSEN ANS;950246901;Viken;30;Moss;02;1986-01-01;1986-01-01;3,1;21,5888;22,4;15;0,056;1;003.A;
279;Mosvik;Kraftverk;NTE ENERGI AS;988340715;Trøndelag;50;Inderøy;53;1984-02-23;1984-02-23;37;96,0375;205;21,5;0,477;3;131.3Z;
1577;Mulvik;Kraftverk;MULVIK KRAFT AS;994225529;Møre og Romsdal;15;Sunndal;63;2010-05-11;2010-05-11;0,365;1,4;110;0,43;;3;111.51;
1686;Muoidejohka;Kraftverk;MUOIDEJOHKA KRAFT AS;996346854;Nordland;18;Beiarn;39;2014-06-18;2014-06-18;5,49;18,5;481,5;1,5;1,017;4;161.F21Z;
281;Mydalen;Kraftverk;SKAGERAK KRAFT AS;979563531;Vestfold og Telemark;38;Hjartdal;19;1959-11-12;1959-11-12;7;28,2869;126;6,4;0,304;2;016.EAAAB;
1138;Mydland;Kraftverk;MYDLAND KRAFTVERK AS;977315425;Agder;42;Sirdal;28;1998-01-01;1998-01-01;0,3;2;110;;;2;027.3F;
1888;Myklebost;Kraftverk;MYKLEBOST KRAFT AS;917400482;Vestland;46;Sunnfjord;47;2018-04-28;2018-04-28;5,32;20;190;3,4;0,435;3;084.E3A;
1383;Myklebust;Kraftverk;MYKLEBUST KRAFT AS;991391304;Møre og Romsdal;15;Ørsta;20;2009-05-19;2009-05-19;2;5,73;256;0,9;0,617;3;095.BA;
1641;Myklebustdalen;Kraftverk;MYKLEBUSTDALEN ENERGI AS;988967246;Vestland;46;Kvinnherad;17;2007-01-08;2007-01-08;0,225;1,1;135;0,24;0,26;2;045.31Z;
282;Mykstufoss;Kraftverk;GLITRE ENERGI PRODUKSJON AS;979487223;Viken;30;Rollag;51;1964-01-01;1964-01-01;48;215,5707;61,7;100,15;0,133;1;015.G5Z;
603;Myra;Kraftverk;BKK PRODUKSJON AS;876944642;Vestland;46;Samnanger;23;1988-05-02;1988-05-02;3,7;17,9458;18,2;20;0,051;5;055.B;
1305;Myraelva;Kraftverk;;;Vestland;46;Sunnfjord;47;2007-01-01;2007-01-01;0,075;0,21;;;;3;084.820;
893;Myrbekk;Kraftverk;ARILD VAAGE;969624230;Rogaland;11;Suldal;34;2005-08-01;2005-08-01;0,2;0,8;;;;2;036.B24;
283;Myster;Kraftverk;BKK PRODUKSJON AS;876944642;Vestland;46;Vaksdal;28;1987-04-06;1987-04-06;107;367,4281;248,8;50;0,594;5;063.A;
284;Mæl;Kraftverk;NORSK HYDRO RJUKAN NÆRINGSPARK;974283646;Vestfold og Telemark;38;Tinn;18;1957-01-01;1957-01-01;37,5;185,6011;44,79;94;0,111;2;016.H2;
1395;Mælafoss;Kraftverk;CHR SALVESEN & CHR THAMS'S COMMUNICATIONS AKTIESELSKAB;915640850;Trøndelag;50;Stjørdal;35;1918-09-01;1918-09-01;0,94;3,1;38;2,6;;3;124.2Z;
1657;Mærdalsåi;Kraftverk;VRÅDAL KRAFT AS;985780595;Vestfold og Telemark;38;Kviteseid;21;2008-01-21;2008-01-21;0,4;1,01;279;0,17;0,654;2;019.G4;
1928;Mølleelva;Kraftverk;ALTA KRAFTLAG SA;971029390;Troms og Finnmark Romsa ja Finnmárku;54;Alta;03;2018-04-19;2018-04-19;4,5;11,9;395,64;1,42;0,88;4;212.3Z;
599;Møllefossen;Kraftverk;SMÅKRAFT AS;984616155;Vestland;46;Osterøy;30;1991-06-01;1991-06-01;0,95;4,6146;9,5;12;0,022;5;060.5Z;
485;Møllen;Kraftverk;SMÅKRAFT AS;984616155;Vestland;46;Vaksdal;28;1977-01-01;1977-01-01;2;13,9464;80;3,3;0,179;5;061.4Z;
1830;Mølnbekken;Kraftverk;NORDVEST ENERGI AS;990194491;Nordland;18;Hemnes;32;2015-12-10;2015-12-10;1,55;5,5;148,26;1,45;0,297;4;155.B5;
1403;Mølnelva;Kraftverk;SANDVIK ENERGI AS;986446060;Troms og Finnmark Romsa ja Finnmárku;54;Dyrøy;20;2008-11-24;2008-11-24;1,2;5;99;1,5;0,233;4;193.D;
1107;Mørnbekken;Kraftverk;;;Nordland;18;Grane;25;1998-01-01;1998-01-01;0,036;0,2;;;;4;151.D3Z;
285;Mørre;Kraftverk;TRØNDERENERGI KRAFT AS;878631072;Trøndelag;50;Åfjord;58;1977-03-07;1977-03-07;13,6;54,0695;81,3;19,98;0,188;3;135.3Z;
1062;Møyskrev;Kraftverk;MIKROKRAFT AS;972415952;Rogaland;11;Hjelmeland;33;1998-01-01;1998-01-01;0,17;0,9;;0,18;;2;035.2A1;
1531;Måge;Kraftverk;MÅGE NATURKRAFT AS;992160047;Vestland;46;Ullensvang;18;2009-06-15;2009-06-15;0,55;2,8;135;;;5;048.31A;
286;Mågeli;Kraftverk;STATKRAFT ENERGI AS;987059729;Vestland;46;Ullensvang;18;1956-01-01;1956-01-01;29;132,1838;610;5,8;1,389;2;049.A41;
287;Målset;Kraftverk;STATKRAFT ENERGI AS;987059729;Vestland;46;Vik;39;1967-04-01;1967-04-01;20;63,0559;175;13,98;0,397;5;070.5BB;
288;Mår;Kraftverk;STATKRAFT ENERGI AS;987059729;Vestfold og Telemark;38;Tinn;18;1948-11-26;1948-11-26;180;736,8313;823;27,5;1,818;2;016.H31;
1545;Måren;Kraftverk;SMÅKRAFT AS;984616155;Vestland;46;Høyanger;38;2010-10-06;2010-10-06;5;22,4;292,5;2,5;0,556;3;079.5Z;
289;Mårøyfjord;Kraftverk;NORDKYN KRAFTLAG SA;956740134;Troms og Finnmark Romsa ja Finnmárku;54;Lebesby;38;1956-02-09;1956-02-09;4,4;22,5648;225,3;2,5;0,489;4;230.3A1;
290;Naddvik;Kraftverk;ØSTFOLD ENERGI AS;879904412;Vestland;46;Årdal;43;1987-02-25;1987-02-25;112;528,7958;969;13;2,393;5;074.2A;
1741;Nape;Kraftverk;NAPE KRAFT AS;998416930;Vestfold og Telemark;38;Fyresdal;23;2013-08-21;2013-08-21;1,925;7,6;145;1,6;0,334;2;019.F2E;
1432;Nasvatn;Kraftverk;NASVATN KRAFTVERK AS;991231072;Agder;42;Åmli;17;2008-07-01;2008-07-01;0,99;7;386;0,28;;2;020.D7A;
1033;Naurak;Kraftverk;NAURAK KRAFTVERK AS;920987958;Vestfold og Telemark;38;Nissedal;22;2000-11-01;2000-11-01;0,445;1,5;;;;2;019.F211;
291;Nea;Kraftverk;STATKRAFT ENERGI AS;987059729;Trøndelag;50;Tydal;33;1960-04-01;1960-04-01;175;676,8334;375;55;0,884;3;123.F1B;
292;Nedalsfoss;Kraftverk;STATKRAFT ENERGI AS;987059729;Trøndelag;50;Tydal;33;1974-01-01;1974-01-01;25;73,0394;96;30,05;0,231;3;123.G1;
810;Nedre Bersåvatn;Kraftverk;STATKRAFT ENERGI AS;987059729;Vestland;46;Ullensvang;18;2004-11-09;2004-11-09;4,1;20,0312;65;7,5;0,152;2;049.A4B1;
1128;Nedre Eiane;Kraftverk;;;Rogaland;11;Sandnes;08;2002-01-01;2002-01-01;0,04;0,094;;;;2;031.11;
293;Nedre Fiskumfoss;Kraftverk;NTE ENERGI AS;988340715;Trøndelag;50;Grong;45;1946-11-03;1946-11-03;41,5;301,918;34,5;140,6;0,082;3;139.C2;
1171;Nedre Kivfallet;Kraftverk;ØVERGAARD ENERGI AS;997893905;Innlandet;34;Rendalen;24;2003-11-05;2003-11-05;0,93;4;165;0,7;0,369;1;002.M3;
295;Nedre Leirfoss;Kraftverk;STATKRAFT ENERGI AS;987059729;Trøndelag;50;Trondheim ;01;1910-01-01;2014-01-01;2,4;18,4002;27;10;0,067;3;123.A2;
296;Nedre Markevatn;Kraftverk;SFE PRODUKSJON AS;984882106;Vestland;46;Askvoll;45;1954-01-01;1954-01-01;2,8;9,3647;42;8,35;0,093;3;084.5A;
1158;Nedre Mollisjok;Kraftverk;;;Troms og Finnmark Romsa ja Finnmárku;54;Kárá%u0161johka-Karasjok;37;1988-01-01;1988-01-01;0,02;0,08;;;;4;234.GBAA;
551;Nedre Nea;Kraftverk;STATKRAFT ENERGI AS;987059729;Trøndelag;50;Selbu;32;1989-01-01;1989-01-01;66,7;405,3697;96;79,86;0,231;3;123.D22;
1660;Nedre Neset;Kraftverk;NESET KRAFT AS;991704817;Rogaland;11;Lund;12;2012-05-08;2012-05-08;2,56;7,8;117,8;2,55;0,279;2;026.BB;
297;Nedre Porsa;Kraftverk;PORSA KRAFTLAG AS;915231640;Troms og Finnmark Romsa ja Finnmárku;54;Hammerfest;06;1959-01-01;1959-01-01;12,8;58,4095;215;7,69;0,462;4;213.5Z;
298;Nedre Røssåga;Kraftverk;STATKRAFT ENERGI AS;987059729;Nordland;18;Hemnes;32;1955-03-24;1955-03-24;350;2001;244,4;165;0,589;4;155.B1;
299;Nedre Svultingen;Kraftverk;SUNNFJORD ENERGI AS;916501420;Vestland;46;Hyllestad;37;1965-07-01;1965-07-01;8,8;40,3723;68;17;0,137;3;080.4A;
300;Nedre Tessa 1;Kraftverk;AS EIDEFOSS;911305631;Innlandet;34;Vågå;35;1942-08-11;1942-08-11;7;17,9816;146,5;5,6;0,326;3;002.DHB2A0;
301;Nedre Tessa 2;Kraftverk;AS EIDEFOSS;911305631;Innlandet;34;Vågå;35;1963-10-17;1963-10-17;16;100,8;310,7;5,59;0,794;3;002.DHB2A0;
1897;Nedre Urdalen;Kraftverk;NEDRE URDALEN MINIKRAFTVERK AS;917144338;Vestfold og Telemark;38;Tinn;18;2017-05-18;2017-05-18;0,74;1,5;82;1,06;0,194;2;016.G32Z;
302;Nedre Vinstra;Kraftverk;E-CO ENERGI AS;976894677;Innlandet;34;Nord-Fron;36;1953-11-05;1953-11-05;308;1263,56;443,2;80,02;1,069;1;002.DF831;
999;Nedrebø;Kraftverk;;;Rogaland;11;Bjerkreim;14;2000-01-01;2000-01-01;0,1;0,3;;;;2;027.D4;
1661;Nedrebø;Kraftverk;NEDREBØ KRAFTVERK AS;995366843;Vestland;46;Sunnfjord;47;2012-01-24;2012-01-24;1,42;3,6;129,3;1,4;0,325;3;084.E2Z;
303;Nes;Kraftverk;E-CO ENERGI AS;976894677;Viken;30;Nesbyen;40;1967-07-30;1967-07-30;250;1492,906;285;110,05;0,63;5;012.CD20;
803;Neselva;Kraftverk;YTRE KANDAL KRAFT AS;984550510;Vestland;46;Gloppen;50;2004-05-27;2004-05-27;4,9;17,629;132;4,4;0,309;3;087.B120;
952;Neselva;Kraftverk;NESELVA KRAFTVERK AS;985744025;Vestland;46;Sunnfjord;47;2004-01-01;2004-01-01;0,27;1,3;;;;3;083.E0;
1525;Nessa;Kraftverk;;;Rogaland;11;Hjelmeland;33;2008-01-01;2008-01-01;0,06;0,3;;;;2;033.22;
929;Nesset;Kraftverk;TUSSA ENERGI AS;876795442;Møre og Romsdal;15;Hareid;17;1947-01-01;1947-01-01;0,5;2;;;;3;096.1BB;
304;Neverdalsåga;Kraftverk;STATKRAFT ENERGI AS;987059729;Nordland;18;Meløy;37;1955-01-01;1955-01-01;2,1;12,3177;213;1,39;0,416;4;160.3A;
1517;Nibbedalen;Kraftverk;TRYGGESTAD KRAFT AS;992530448;Møre og Romsdal;15;Stranda;25;2011-04-04;2011-04-04;1,7;4,9;62;3;0,157;3;098.5BZ;
305;Niingen;Kraftverk;HÅLOGALAND KRAFT PRODUKSJON AS;912432181;Nordland;18;Evenes;53;1954-08-05;1954-08-05;17;69,564;501,7;4,08;1,157;4;175.2B;
1216;Nipo;Kraftverk;NIPO KRAFT AS;985479321;Vestland;46;Alver;31;2000-01-01;2000-01-01;0,95;3,8;;;;5;064.4Z;
306;Nisserdam;Kraftverk;AGDER ENERGI VANNKRAFT AS;882973972;Vestfold og Telemark;38;Nissedal;22;1985-01-01;1985-01-01;1,8;11,3568;6,9;38,45;0,013;2;019.E62;
1798;Nivla;Kraftverk;NIVLA KRAFT AS;879904552;Vestland;46;Lærdal;42;2016-06-03;2016-06-03;4,72;11;184,9;3,3;0,397;5;073.AA0;
307;Nomeland;Kraftverk;AGDER ENERGI VANNKRAFT AS;882973972;Agder;42;Iveland;18;1920-01-01;1920-01-01;28,7;172,5795;20,39;181,19;0,043;2;021.A82;
1017;Nordbekken;Kraftverk;;;Rogaland;11;Vindafjord;60;2000-01-01;2000-01-01;0,025;0,1;;;;2;038.2Z;
1679;Nordbøåna;Kraftverk;NORDBØÅNA KRAFT AS;992143282;Vestfold og Telemark;38;Nissedal;22;2012-05-20;2012-05-20;1,6;4,2;193;1;0,45;2;019.F3;
309;Norddalen;Kraftverk;STATKRAFT ENERGI AS;987059729;Nordland;18;Narvik;06;1983-01-01;1983-01-01;7,5;39,93;91;12,6;0,203;4;173.AB6A;
1780;Nordelva;Kraftverk;OPTIK SPESIALBUTIKKEN I NORD Roald Skogvik;918374116;Troms og Finnmark Romsa ja Finnmárku;54;Tromsø;01;2008-01-01;2008-01-01;0,11;0,5;;;;4;197.2;
1656;Nordfjordbekkan;Kraftverk;EGIL HERMANN JOHANSEN;970223231;Nordland;18;Rana;33;2007-12-10;2007-12-10;0,21;0,6;148;0,18;0,324;4;157.41;
308;Nord-Forså;Kraftverk;HÅLOGALAND KRAFT PRODUKSJON AS;912432181;Troms og Finnmark Romsa ja Finnmárku;54;Ibestad;13;1957-11-03;1957-11-03;1,1;7,6031;236;0,5;0,611;4;188.23Z;
1245;Nordlandselva;Kraftverk;SKS PRODUKSJON AS;915637353;Nordland;18;Beiarn;39;2006-03-21;2006-03-21;2;9,5;172;1,45;0,383;4;161.4Z;
1617;Nordre Mangen;Kraftverk;N MANGEN GÅRD Bjørn Toverud;971264365;Viken;30;Aurskog-Høland;26;2008-04-08;2008-04-08;0,144;0,4;;;;1;313.H3;
1347;Nordsvorka;Kraftverk;STATKRAFT ENERGI AS;987059729;Møre og Romsdal;15;Surnadal;66;2007-05-01;2007-05-01;2,34;12,3;39,3;6;0,093;3;112.3AAA;
1236;Nordvik;Kraftverk;NORDVIK KRAFT AS;988225657;Møre og Romsdal;15;Surnadal;66;2006-05-07;2006-05-07;4,63;15,9;375;1,6;0,833;3;111.7Z;
1251;Nordåni;Kraftverk;NORDÅNA KRAFT AS;988304816;Agder;42;Bygland;20;2006-06-01;2006-06-01;1,2;4,5;180;0,8;0,417;2;021.D5AZ;
310;Nore I;Kraftverk;STATKRAFT ENERGI AS;987059729;Viken;30;Nore og Uvdal;52;1928-07-01;1928-07-01;206;758,809;361;72;0,795;5;015.JA0;
311;Nore II;Kraftverk;STATKRAFT ENERGI AS;987059729;Viken;30;Nore og Uvdal;52;1946-11-12;1946-11-12;52;203,688;100;68,12;0,212;1;015.H6;
944;Norvald Hestad;Kraftverk;;;Vestland;46;Sunnfjord;47;1997-01-01;1997-01-01;0,024;0,08;;;;3;083.C4;
1898;Nottveit Pico;Kraftverk;EINAR SOFIENLUND;943252106;Vestland;46;Modalen;29;2017-06-20;2017-06-20;0,01;0,04;26;0,07;0,04;5;064.3;
