Clave de Registro;Nombre de la Unidad de Producción;Estado;Dirección de la Unidad de Producción;Municipio de la Unidad de Producción;Provincia de la Unidad de Producción;Nombre del Titular de la Unidad de Producción;Dirección del Titular;Municipio del Titual;CPostal del Titular;Provincia del Titular;Participación, en %, del Titular en la Unidad de Producción;Nombre del 2º Propietario de la Unidad de Producción;Participación, en %, del 2º Propietario de la Unidad de Producción;Nombre del 3º Propietario de la Unidad de Producción;Participación, en %, del 3º Propietario de la Unidad de Producción;Nombre del 4º Propietario de la Unidad de Producción;Participación, en %, del 4º Propietario de la Unidad de Producción;Fecha de la puesta en servicio de la Unidad de Producción;Tipo de Unidad de Producción;Tecnología de la Unidad de Producción;Potencia Instalada en MW;Potencia Bruta Total en MW;Potencia Neta Total en MW;Tensión de Conexión de la Unidad de Producción en el Punto de Conexión;Nombre de la Empresa Propietaria de la red en la que tiene punto de conexión la Unidad de Producción;Nudo del punto de conexión de la Unidad de Producción;Nombre de la Unidad de Gestión Hidráulica (si es de tipo Hidráulica);Nombre del Río (si es de tipo Hidráulica);Nombre del Combustible más usado (si la Unidad es de tipo Térmica Clásica);Nombre del Combustible 2º más usado (si la Unidad es de tipo Térmica Clásica);Nombre del Combustible 3º más usado (si la Unidad es del tipo Térmica Clásica);Subsección;Denominación Ciclo Combinado;Mínimo Técnico Declarado;Modo de Funcionamiento;A (th/h);B (th/h.MW);C (th/h.MW2);A (th);B (horas);D (€/arranque);O&MVDi (€/MWh );Anotación al Margen
RO1-0072;EL AGUILA 1;DEFINITIVO;;Ezcaray;LA RIOJA;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.01.1952 00:00;HIDRÁULICA;FLUYENTE;0,240;0,240;;13,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;CH EL AGUILA;EBRO;OJA;;;;1;;;;;;;;;;;
RO1-0073;EL AGUILA 2;DEFINITIVO;;Ezcaray;LA RIOJA;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.01.1952 00:00;HIDRÁULICA;FLUYENTE;0,240;0,240;;13,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;CH EL AGUILA;EBRO;OJA;;;;1;;;;;;;;;;;
RO1-0074;ALCALA DEL JUCAR 1;DEFINITIVO;;Alcalá del Júcar;ALBACETE;BARBO ENERGÍAS RENOVABLES, S.A.;C/. JON ARROSPIDE, Nº 20 Interior;Bilbao;48014;BIZKAIA;100,00;;;;;;;01.01.1926 00:00;HIDRÁULICA;FLUYENTE;0,530;0,530;;20,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;CH ALCALA DEL JUCAR;JUCAR;JUCAR;;;;1;;;;;;;;;;;
RO1-0075;ALCALA DEL JUCAR 2;DEFINITIVO;;Alcalá del Júcar;ALBACETE;BARBO ENERGÍAS RENOVABLES, S.A.;C/. JON ARROSPIDE, Nº 20 Interior;Bilbao;48014;BIZKAIA;100,00;;;;;;;01.01.1926 00:00;HIDRÁULICA;FLUYENTE;0,530;0,530;;20,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;CH ALCALA DEL JUCAR;JUCAR;JUCAR;;;;1;;;;;;;;;;;
RO1-0076;ALDEADAVILA I 1;DEFINITIVO;;Aldeadávila de la Ribera;SALAMANCA;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.01.1962 00:00;HIDRÁULICA;EMBALSE;119,700;;132,910;220,000;IBERDROLA GENERACION - RED ELECTRICA TRANSPORTE;ST ALDEADAVILA I;DUERO;DUERO;;;;1;;;;;;;;;;;
RO1-0077;ALDEADAVILA I 2;DEFINITIVO;;Aldeadávila de la Ribera;SALAMANCA;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.01.1962 00:00;HIDRÁULICA;EMBALSE;134,400;134,400;132,710;220,000;IBERDROLA GENERACION - RED ELECTRICA TRANSPORTE;ST ALDEADAVILA I;DUERO;DUERO;;;;1;;;;;;;;;;;
RO1-0078;ALDEADAVILA I 3;DEFINITIVO;;Aldeadávila de la Ribera;SALAMANCA;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.01.1963 00:00;HIDRÁULICA;EMBALSE;119,700;;133,010;220,000;IBERDROLA GENERACION - RED ELECTRICA TRANSPORTE;ST ALDEADAVILA I;DUERO;DUERO;;;;1;;;;;;;;;;;
RO1-0079;ALDEADAVILA I 4;DEFINITIVO;;Aldeadávila de la Ribera;SALAMANCA;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.01.1963 00:00;HIDRÁULICA;EMBALSE;119,700;;133,150;220,000;IBERDROLA GENERACION - RED ELECTRICA TRANSPORTE;ST ALDEADAVILA I;DUERO;DUERO;;;;1;;;;;;;;;;;
RO1-0080;ALDEADAVILA I 5;DEFINITIVO;;Aldeadávila de la Ribera;SALAMANCA;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.01.1963 00:00;HIDRÁULICA;EMBALSE;119,700;;131,860;220,000;IBERDROLA GENERACION - RED ELECTRICA DE ESPAÑA;ST ALDEADAVILA I;DUERO;DUERO;;;;1;;;;;;;;;;;
RO1-0081;ALDEADAVILA I 6;DEFINITIVO;;Aldeadávila de la Ribera;SALAMANCA;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.01.1963 00:00;HIDRÁULICA;EMBALSE;119,700;119,700;134,300;220,000;IBERDROLA GENERACION - RED ELECTRICA DE ESPAÑA;ST ALDEADAVILA I;DUERO;DUERO;;;;1;;;;;;;;;;;
RO1-0082;ALDEADAVILA II 1;DEFINITIVO;Aldeadávila de la Ribera;Aldeadávila de la Ribera;SALAMANCA;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;25.11.1986 00:00;HIDRÁULICA;BOMBEO MIXTO;217,500;217,500;216,290;400,000;IBERDROLA GENERACION - RED ELECTRICA DE ESPAÑA;ST ALDEADAVILA II;DUERO;DUERO;;;;1;;;;;;;;;;;
RO1-0083;ALDEADAVILA II 2;DEFINITIVO;Aldeadávila de la Ribera;Aldeadávila de la Ribera;SALAMANCA;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;29.09.1986 00:00;HIDRÁULICA;BOMBEO MIXTO;210,500;212,200;212,200;400,000;IBERDROLA GENERACION - RED ELECTRICA DE ESPAÑA;ST ALDEADAVILA II;DUERO;DUERO;;;;1;;;;;;;;;;;
RO1-0084;ALLOZ 1;DEFINITIVO;;Valle de Yerri/Deierri;NAVARRA;IBERDROLA RENOVABLES, S.A.;C/. TOMAS REDONDO, Nº 1;Madrid;28033;MADRID;100,00;;;;;;;15.10.1930 00:00;HIDRÁULICA;EMBALSE;3,400;3,400;;66,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;STR ALLOZ;EBRO;SALADO;;;;1;;;;;;;;;;;
RO1-0085;ALLOZ 2;DEFINITIVO;;Valle de Yerri/Deierri;NAVARRA;IBERDROLA RENOVABLES, S.A.;C/. TOMAS REDONDO, Nº 1;Madrid;28033;MADRID;100,00;;;;;;;15.10.1930 00:00;HIDRÁULICA;EMBALSE;3,400;3,400;;66,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;STR ALLOZ;EBRO;SALADO;;;;1;;;;;;;;;;;
RO1-0086;ALMADENES 1;DEFINITIVO;;Cieza;MURCIA;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.01.1923 00:00;HIDRÁULICA;FLUYENTE;2,800;2,800;2,630;5,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;ST ALMADENES;JUCAR;SEGURA;;;;1;;;;;;;;;;;
RO1-0087;ALMADENES 2;DEFINITIVO;;Cieza;MURCIA;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.01.1923 00:00;HIDRÁULICA;FLUYENTE;2,800;2,800;2,660;5,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;ST ALMADENES;JUCAR;SEGURA;;;;1;;;;;;;;;;;
