Clave de Registro;Nombre de la Unidad de Producción;Estado;Dirección de la Unidad de Producción;Municipio de la Unidad de Producción;Provincia de la Unidad de Producción;Nombre del Titular de la Unidad de Producción;Dirección del Titular;Municipio del Titual;CPostal del Titular;Provincia del Titular;Participación, en %, del Titular en la Unidad de Producción;Nombre del 2º Propietario de la Unidad de Producción;Participación, en %, del 2º Propietario de la Unidad de Producción;Nombre del 3º Propietario de la Unidad de Producción;Participación, en %, del 3º Propietario de la Unidad de Producción;Nombre del 4º Propietario de la Unidad de Producción;Participación, en %, del 4º Propietario de la Unidad de Producción;Fecha de la puesta en servicio de la Unidad de Producción;Tipo de Unidad de Producción;Tecnología de la Unidad de Producción;Potencia Instalada en MW;Potencia Bruta Total en MW;Potencia Neta Total en MW;Tensión de Conexión de la Unidad de Producción en el Punto de Conexión;Nombre de la Empresa Propietaria de la red en la que tiene punto de conexión la Unidad de Producción;Nudo del punto de conexión de la Unidad de Producción;Nombre de la Unidad de Gestión Hidráulica (si es de tipo Hidráulica);Nombre del Río (si es de tipo Hidráulica);Nombre del Combustible más usado (si la Unidad es de tipo Térmica Clásica);Nombre del Combustible 2º más usado (si la Unidad es de tipo Térmica Clásica);Nombre del Combustible 3º más usado (si la Unidad es del tipo Térmica Clásica);Subsección;Denominación Ciclo Combinado;Mínimo Técnico Declarado;Modo de Funcionamiento;A (th/h);B (th/h.MW);C (th/h.MW2);A (th);B (horas);D (€/arranque);O&MVDi (€/MWh );Anotación al Margen
RO1-0816;ALBARELLOS GRUPO 1;DEFINITIVO;;Boborás;ORENSE;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;19.01.1973 00:00;HIDRÁULICA;EMBALSE;59,200;68,100;67,600;220,000;UNIÓN FENOSA DISTRIBUCIÓN;ALBARELLOS;UF MIÑO;AVIA;;;;1;;;;;;;;;;;
RO1-0817;ALCOBA GRUPO 1;DEFINITIVO;Cimanes del Tejar;Cimanes del Tejar;LEON;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;17.06.1968 00:00;HIDRÁULICA;EMBALSE;9,600;7,750;7,710;45,000;UNIÓN FENOSA DISTRIBUCIÓN;ALCOBA;UF GALICIA-COSTA;CANAL BARRIOS DE LUNA;;;;1;;;;;;;;;;;
RO1-0818;ALMOGUERA GRUPO 1;DEFINITIVO;;Almoguera;GUADALAJARA;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;01.01.1947 00:00;HIDRÁULICA;EMBALSE;3,520;3,520;2,500;45,000;UNIÓN FENOSA DISTRIBUCIÓN;ALMOGUERA;UF TAJO;TAJO;;;;1;;;;;;;;;;;
RO1-0819;ALMOGUERA GRUPO 2;DEFINITIVO;;Almoguera;GUADALAJARA;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;01.01.1947 00:00;HIDRÁULICA;EMBALSE;3,520;3,520;2,790;45,000;UNIÓN FENOSA DISTRIBUCIÓN;ALMOGUERA;UF TAJO;TAJO;;;;1;;;;;;;;;;;
RO1-0820;ALMOGUERA GRUPO 3;DEFINITIVO;;Almoguera;GUADALAJARA;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;02.05.1962 00:00;HIDRÁULICA;EMBALSE;3,520;3,520;2,840;45,000;UNIÓN FENOSA DISTRIBUCIÓN;ALMOGUERA;UF TAJO;TAJO;;;;1;;;;;;;;;;;
RO1-0823;BELESAR GRUPO 1;DEFINITIVO;;Chantada;LUGO;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;12.02.1963 00:00;HIDRÁULICA;EMBALSE;75,000;103,500;102,500;220,000;UNIÓN FENOSA DISTRIBUCIÓN;BELESAR;UF MIÑO;MIÑO;;;;1;;;;;;;;;;;
RO1-0824;BELESAR GRUPO 2;DEFINITIVO;CHANTADA;Chantada;LUGO;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;29.03.1963 00:00;HIDRÁULICA;EMBALSE;79,200;106,070;104,810;220,000;UNIÓN FENOSA DISTRIBUCIÓN;BELESAR;UF MIÑO;MIÑO;;;;1;;;;;;;;;;;
RO1-0825;BELESAR GRUPO 3;DEFINITIVO;CHANTADA;Chantada;LUGO;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;01.06.1963 00:00;HIDRÁULICA;EMBALSE;75,000;104,150;102,900;220,000;UNIÓN FENOSA DISTRIBUCIÓN;BELESAR;UF MIÑO;MIÑO;;;;1;;;;;;;;;;;
RO1-0827;BOLARQUE I GRUPO 1;DEFINITIVO;Pastrana;Pastrana;GUADALAJARA;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;31.12.1954 00:00;HIDRÁULICA;EMBALSE;14,000;14,000;13,990;132,000;UNIÓN FENOSA DISTRIBUCIÓN;BOLARQUE COLECTORA;UF TAJO;TAJO;;;;1;;;;;;;;;;;
RO1-0828;BOLARQUE I GRUPO 2;DEFINITIVO;Pastrana;Pastrana;GUADALAJARA;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;16.02.1955 00:00;HIDRÁULICA;EMBALSE;14,000;14,000;13,950;132,000;UNIÓN FENOSA DISTRIBUCIÓN;BOLARQUE COLECTORA;UF TAJO;TAJO;;;;1;;;;;;;;;;;
RO1-0829;BOLARQUE II GRUPO 1;DEFINITIVO;;Almonacid de Zorita;GUADALAJARA;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;01.01.1973 00:00;HIDRÁULICA;EMBALSE;52,000;52,000;54,500;220,000;UNIÓN FENOSA GENERACIÓN;BOLARQUE COLECTORA;UF BOLARQUE BOMBEO Y UF BOLARQUE GENERACIÓN;TAJO;;;;1;;;;;;;;;;;
RO1-0830;BOLARQUE II GRUPO 2;DEFINITIVO;;Almonacid de Zorita;GUADALAJARA;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;01.01.1973 00:00;HIDRÁULICA;EMBALSE;52,000;52,000;52,500;220,000;UNIÓN FENOSA DISTRIBUCIÓN;BOLARQUE COLECTORA;UF BOLARQUE BOMBEO Y UF BOLARQUE GENERACIÓN;TAJO;;;;1;;;;;;;;;;;
RO1-0831;BOLARQUE II GRUPO 3;DEFINITIVO;;Almonacid de Zorita;GUADALAJARA;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;01.01.1973 00:00;HIDRÁULICA;EMBALSE;52,000;52,000;53,500;220,000;UNIÓN FENOSA DISTRIBUCIÓN;BOLARQUE COLECTORA;UF BOLARQUE BOMBEO Y UF BOLARQUE GENERACIÓN;TAJO;;;;1;;;;;;;;;;;
RO1-0832;BOLARQUE II GRUPO 4;DEFINITIVO;;Almonacid de Zorita;GUADALAJARA;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;01.01.1973 00:00;HIDRÁULICA;EMBALSE;52,000;52,000;54,500;220,000;UNIÓN FENOSA GENERACIÓN;BOLARQUE COLECTORA;UF BOLARQUE BOMBEO Y UF BOLARQUE GENERACIÓN;TAJO;;;;1;;;;;;;;;;;
RO1-0833;BUENAMESÓN GRUPO 1;DEFINITIVO;;Villamanrique de Tajo;MADRID;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;11.11.1962 00:00;HIDRÁULICA;EMBALSE;0,685;0,685;0,670;15,000;UNIÓN FENOSA DISTRIBUCIÓN;BUENAMESÓN;UF TAJO;TAJO;;;;1;;;;;;;;;;;
RO1-0834;BUENAMESÓN GRUPO 2;DEFINITIVO;;Villamanrique de Tajo;MADRID;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;11.11.1962 00:00;HIDRÁULICA;EMBALSE;0,685;0,685;0,670;15,000;UNIÓN FENOSA DISTRIBUCIÓN;BUENAMESÓN;UF TAJO;TAJO;;;;1;;;;;;;;;;;
RO1-0835;BUENAMESÓN GRUPO 3;DEFINITIVO;;Villamanrique de Tajo;MADRID;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;11.11.1962 00:00;HIDRÁULICA;EMBALSE;0,685;0,685;0,670;15,000;UNIÓN FENOSA DISTRIBUCIÓN;BUENAMESÓN;UF TAJO;TAJO;;;;1;;;;;;;;;;;
RO1-0836;BUENDÍA GRUPO 1;DEFINITIVO;;Buendía;CUENCA;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;10.10.1956 00:00;HIDRÁULICA;EMBALSE;18,430;18,430;18,150;132,000;UNIÓN FENOSA DISTRIBUCIÓN;BUENDÍA;UF TAJO;GUADIELA;;;;1;;;;;;;;;;;
RO1-0837;BUENDÍA GRUPO 2;DEFINITIVO;;Buendía;CUENCA;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;10.10.1956 00:00;HIDRÁULICA;EMBALSE;18,430;18,430;18,150;132,000;UNIÓN FENOSA DISTRIBUCIÓN;BUENDÍA;UF TAJO;GUADIELA;;;;1;;;;;;;;;;;
RO1-0838;BUENDÍA GRUPO 3;DEFINITIVO;;Buendía;CUENCA;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;10.10.1956 00:00;HIDRÁULICA;EMBALSE;18,430;18,430;18,150;132,000;UNIÓN FENOSA DISTRIBUCIÓN;BUENDÍA;UF TAJO;GUADIELA;;;;1;;;;;;;;;;;
RO1-0839;BURGOMILLODO GRUPO 1;DEFINITIVO;Carrascal del Río;Carrascal del Río;SEGOVIA;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;19.01.1956 00:00;HIDRÁULICA;EMBALSE;0,550;0,480;0,470;45,000;UNIÓN FENOSA DISTRIBUCIÓN;BURGOMILLODO;UF TAJO;DURATÓN;;;;1;;;;;;;;;;;
RO1-0840;BURGOMILLODO GRUPO 2;DEFINITIVO;;Carrascal del Río;SEGOVIA;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;19.01.1956 00:00;HIDRÁULICA;EMBALSE;0,440;0,440;0,400;45,000;UNIÓN FENOSA DISTRIBUCIÓN;BURGOMILLODO;UF TAJO;DURATÓN;;;;1;;;;;;;;;;;
RO1-0841;BURGOMILLODO GRUPO 3;DEFINITIVO;Carrascal del Río;Carrascal del Río;SEGOVIA;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;19.01.1956 00:00;HIDRÁULICA;EMBALSE;0,550;0,480;0,470;45,000;UNIÓN FENOSA DISTRIBUCIÓN;BURGOMILLODO;UF TAJO;DURATÓN;;;;1;;;;;;;;;;;
RO1-0842;BURGOMILLODO GRUPO 4;DEFINITIVO;Carrascal del Rio;Carrascal del Río;SEGOVIA;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;19.01.1956 00:00;HIDRÁULICA;EMBALSE;2,400;2,370;2,330;45,000;UNIÓN FENOSA DISTRIBUCIÓN;BURGOMILLODO;UF TAJO;DURATÓN;;;;1;;;;;;;;;;;
RO1-0843;BURGUILLO GRUPO 1;DEFINITIVO;EL TIEMPLO;Tiemblo (El);AVILA;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;01.01.1970 00:00;HIDRÁULICA;EMBALSE;15,000;19,970;19,710;110,000;UNIÓN FENOSA DISTRIBUCIÓN;PUENTE NUEVO;;ALBERCHE;;;;1;;;;;;;;;;;
RO1-0844;BURGUILLO GRUPO 2;DEFINITIVO;El Tiemblo;Tiemblo (El);AVILA;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;01.01.1930 00:00;HIDRÁULICA;EMBALSE;15,000;21,480;21,200;110,000;UNIÓN FENOSA DISTRIBUCIÓN;PUENTE NUEVO;UF TAJO;ALBERCHE;;;;1;;;;;;;;;;;
RO1-0845;BURGUILLO GRUPO 3;DEFINITIVO;EL TIEMBLO;Tiemblo (El);AVILA;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;01.01.1930 00:00;HIDRÁULICA;EMBALSE;18,800;21,310;21,040;132,000;UNIÓN FENOSA DISTRIBUCIÓN;BURGUILLO;UF TAJO;ALBERCHE;;;;1;;;;;;;;;;;
RO1-0846;CABANELAS GRUPO 1;DEFINITIVO;Carballino;Carballiño (O);ORENSE;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;23.12.1960 00:00;HIDRÁULICA;EMBALSE;2,800;2,395;2,365;20,000;UNIÓN FENOSA DISTRIBUCIÓN;CABANELAS;UF GALICIA-COSTA;ARENTEIRO;;;;1;;;;;;;;;;;
RO1-0854;CASTREJÓN GRUPO 1;DEFINITIVO;;Carpio de Tajo (El);TOLEDO;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;05.11.1968 00:00;HIDRÁULICA;EMBALSE;;20,100;20,100;45,000;UNIÓN FENOSA DISTRIBUCIÓN;CASTREJÓN;UF TAJO;TAJO;;;;1;;;;;;;;;;;
RO1-0855;CASTREJÓN GRUPO 2;DEFINITIVO;;Carpio de Tajo (El);TOLEDO;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;05.11.1968 00:00;HIDRÁULICA;EMBALSE;;20,800;20,760;132,000;UNIÓN FENOSA DISTRIBUCIÓN;CASTREJÓN;UF TAJO;TAJO;;;;1;;;;;;;;;;;
RO1-0856;CASTREJÓN GRUPO 3;DEFINITIVO;;Carpio de Tajo (El);TOLEDO;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;05.11.1968 00:00;HIDRÁULICA;EMBALSE;;20,400;20,350;132,000;UNIÓN FENOSA DISTRIBUCIÓN;CASTREJÓN;UF TAJO;TAJO;;;;1;;;;;;;;;;;
RO1-0857;CASTREJÓN GRUPO 4;DEFINITIVO;;Carpio de Tajo (El);TOLEDO;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;05.11.1968 00:00;HIDRÁULICA;EMBALSE;;19,500;19,520;132,000;UNIÓN FENOSA DISTRIBUCIÓN;CASTREJÓN;UF TAJO;TAJO;;;;1;;;;;;;;;;;
RO1-0858;CASTRELO GRUPO 1;DEFINITIVO;Castrelo de Miño;Castrelo de Miño;ORENSE;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;15.04.1969 00:00;HIDRÁULICA;EMBALSE;56,000;68,550;67,500;220,000;UNIÓN FENOSA DISTRIBUCIÓN;CASTRELO;UF MIÑO;MIÑO;;;;1;;;;;;;;;;;
RO1-0859;CASTRELO GRUPO 2;DEFINITIVO;Castrelo de Miño;Castrelo de Miño;ORENSE;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;10.12.1969 00:00;HIDRÁULICA;EMBALSE;56,000;68,960;68,090;220,000;UNIÓN FENOSA DISTRIBUCIÓN;CASTRELO;UF MIÑO;MIÑO;;;;1;;;;;;;;;;;
RO1-0860;CIMANES GRUPO 1;DEFINITIVO;Cimanes del Tejar;Cimanes del Tejar;LEON;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;17.06.1968 00:00;HIDRÁULICA;EMBALSE;9,600;7,750;7,700;45,000;UNIÓN FENOSA DISTRIBUCIÓN;CIMANES;UF GALICIA-COSTA;CANAL BARRIOS DE LUNA;;;;1;;;;;;;;;;;
RO1-0861;LAS CONCHAS GRUPO 1;DEFINITIVO;LOBIOS;Lobios;ORENSE;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;29.12.1949 00:00;HIDRÁULICA;EMBALSE;12,400;12,760;12,560;132,000;UNIÓN FENOSA DISTRIBUCIÓN;LAS CONCHAS;UF GALICIA-COSTA;LIMIA;;;;1;;;;;;;;;;;
RO1-0862;LAS CONCHAS GRUPO 2;DEFINITIVO;Lobios;Lobios;ORENSE;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;29.12.1949 00:00;HIDRÁULICA;EMBALSE;12,400;12,840;12,630;132,000;UNIÓN FENOSA DISTRIBUCIÓN;LAS CONCHAS;UF GALICIA-COSTA;LIMIA;;;;1;;;;;;;;;;;
RO1-0863;LAS CONCHAS GRUPO 3;DEFINITIVO;Lobios;Lobios;ORENSE;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;07.04.1973 00:00;HIDRÁULICA;EMBALSE;24,000;24,480;24,190;132,000;UNIÓN FENOSA DISTRIBUCIÓN;LAS CONCHAS;UF GALICIA-COSTA;LIMIA;;;;1;;;;;;;;;;;
RO1-0867;ENTREPEÑAS GRUPO 1;DEFINITIVO;;Auñón;GUADALAJARA;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;01.01.1956 00:00;HIDRÁULICA;EMBALSE;18,430;18,430;20,350;132,000;UNIÓN FENOSA DISTRIBUCIÓN;ENTREPEÑAS;UF TAJO;TAJO;;;;1;;;;;;;;;;;
RO1-0868;ENTREPEÑAS GRUPO 2;DEFINITIVO;;Auñón;GUADALAJARA;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;01.01.1956 00:00;HIDRÁULICA;EMBALSE;18,430;18,430;20,450;132,000;UNIÓN FENOSA DISTRIBUCIÓN;ENTREPEÑAS;UF TAJO;TAJO;;;;1;;;;;;;;;;;
RO1-0869;ESPINOSA GRUPO 1;DEFINITIVO;Rioseco de Tapia;Rioseco de Tapia;LEON;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;01.01.1964 00:00;HIDRÁULICA;EMBALSE;9,600;8,030;7,980;132,000;UNIÓN FENOSA DISTRIBUCIÓN;LEÓN;UF GALICIA-COSTA;CANAL BARRIOS DE LUNA;;;;1;;;;;;;;;;;
RO1-0871;TRONCEDA 1;DEFINITIVO;SEVANE-PARROQUIA DE LOS REMEDIOS 43º26'56''N,7º22'09''W;Mondoñedo;LUGO;BARRAS ELÉCTRICAS GENERACIÓN, S.L.;DOUTOR TEIXEIRO,Nº 13-3º;Santiago de Compostela;15701;A CORUÑA;100,00;;;;;;;01.01.1906 00:00;HIDRÁULICA;FLUYENTE;1,250;1,240;1,220;20,000;BARRAS ELÉCTRICAS GALAICO-ASTURIANAS,S.A.;ST MONDOÑEDO;AGUAS DE GALICIA-XUNTA;TRONCEDA;;;;1;;;;;;;;;;;
RO1-0872;TRONCEDA 2;DEFINITIVO;SEVANE-PARROQUIA DE LOS REMEDIOS 43º26'56''N,7º22'09''W;Mondoñedo;LUGO;BARRAS ELÉCTRICAS GENERACIÓN, S.L.;DOUTOR TEIXEIRO,Nº 13-3º;Santiago de Compostela;15701;A CORUÑA;100,00;;;;;;;01.01.1906 00:00;HIDRÁULICA;FLUYENTE;1,500;1,010;0,980;20,000;BARRAS ELÉCTRICAS GALAICO-ASTURIANAS,S.A.;ST MONDOÑEDO;AGUAS DE GALICIA-XUNTA;TRONCEDA;;;;1;;;;;;;;;;;
RO1-0873;FERVENCIA;DEFINITIVO;PARROQUIA DE VILOALLE 43º26'59''N,7º21'41''W;Mondoñedo;LUGO;BARRAS ELÉCTRICAS GENERACIÓN, S.L.;DOUTOR TEIXEIRO,Nº 13-3º;Santiago de Compostela;15701;A CORUÑA;100,00;;;;;;;01.01.1921 00:00;HIDRÁULICA;FLUYENTE;0,160;0,128;0,128;20,000;BARRAS ELÉCTRICAS GALAICO-ASTURIANAS,S.A.;ST MONDOÑEDO;AGUAS DE GALICIA-XUNTA;TRONCEDA;;;;1;;;;;;;;;;;
RO1-0874;FERVENZA GRUPO 1;DEFINITIVO;Narón;Narón;A CORUÑA;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;16.07.1985 00:00;HIDRÁULICA;EMBALSE;1,875;1,526;1,517;20,000;UNIÓN FENOSA DISTRIBUCIÓN;FERVENZA;UF GALICIA-COSTA;BELELLE;;;;1;;;;;;;;;;;
RO1-0876;FRIEIRA GRUPO 1;DEFINITIVO;Padrenda;Padrenda;ORENSE;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;24.07.1970 00:00;HIDRÁULICA;EMBALSE;65,000;81,430;80,500;132,000;UNIÓN FENOSA DISTRIBUCIÓN;FRIEIRA;UF MIÑO;MIÑO;;;;1;;;;;;;;;;;
RO1-0877;FRIEIRA GRUPO 2;DEFINITIVO;PADRENDA;Padrenda;ORENSE;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;10.11.1970 00:00;HIDRÁULICA;EMBALSE;65,000;81,060;80,110;132,000;UNIÓN FENOSA DISTRIBUCIÓN;FRIEIRA;UF MIÑO;MIÑO;;;;1;;;;;;;;;;;
RO1-0878;GÜIMIL GRUPO 1;DEFINITIVO;Vilarmaior;Vilarmaior;A CORUÑA;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;09.03.1984 00:00;HIDRÁULICA;EMBALSE;1,780;1,518;1,508;20,000;UNIÓN FENOSA DISTRIBUCIÓN;GÜIMIL;UF GALICIA-COSTA;LAMBRE;;;;1;;;;;;;;;;;
RO1-0879;LA TOBA GRUPO 1;DEFINITIVO;;Uña;CUENCA;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;19.01.1987 00:00;HIDRÁULICA;EMBALSE;0,775;0,775;0,570;15,000;UNIÓN FENOSA DISTRIBUCIÓN;LA TOBA;UF TAJO;JÚCAR;;;;1;;;;;;;;;;;
RO1-0880;LANCARA GRUPO 1;DEFINITIVO;;Sena de Luna;LEON;CONFEDERACION HIDROGRAFICA DEL DUERO;Muro, 5;Valladolid;47071;VALLADOLID;100,00;;;;;;;01.01.1926 00:00;HIDRÁULICA;EMBALSE;0,380;0,380;0,330;15,000;UNIÓN FENOSA DISTRIBUCIÓN;LÁNCARA;UF GALICIA-COSTA;PARADA;;;;1;;;;;;;;;;;
RO1-0881;LANCARA GRUPO 2;DEFINITIVO;;Sena de Luna;LEON;CONFEDERACION HIDROGRAFICA DEL DUERO;Muro, 5;Valladolid;47071;VALLADOLID;100,00;;;;;;;01.01.1926 00:00;HIDRÁULICA;EMBALSE;0,800;0,800;0,870;15,000;UNIÓN FENOSA DISTRIBUCIÓN;LÁNCARA;UF GALICIA-COSTA;PARADA;;;;1;;;;;;;;;;;
RO1-0882;LEBOREIRO GRUPO 1;DEFINITIVO;Montederramo;Montederramo;ORENSE;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;20.01.1947 00:00;HIDRÁULICA;EMBALSE;1,200;1,200;1,128;20,000;UNIÓN FENOSA DISTRIBUCIÓN;LEBORIERO;UF GALICIA-COSTA;MAO;;;;1;;;;;;;;;;;
RO1-0883;LEBOREIRO GRUPO 2;DEFINITIVO;Montederramo;Montederramo;ORENSE;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;20.01.1947 00:00;HIDRÁULICA;EMBALSE;1,200;1,200;1,149;20,000;UNIÓN FENOSA DISTRIBUCIÓN;LEBOREIRO;UF GALICIA-COSTA;MAO;;;;1;;;;;;;;;;;
RO1-0884;LINARES ARROYO GRUPO 1;DEFINITIVO;Maderuelo;Maderuelo;SEGOVIA;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;18.02.1961 00:00;HIDRÁULICA;EMBALSE;0,960;0,980;0,970;45,000;UNIÓN FENOSA DISTRIBUCIÓN;LINARES DEL ARROYO;UF TAJO;RIAZA;;;;1;;;;;;;;;;;
RO1-0891;MEZONZO GRUPO 1;DEFINITIVO;Vilasantar;Vilasantar;A CORUÑA;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;09.03.1984 00:00;HIDRÁULICA;EMBALSE;0,650;0,540;0,534;15,000;UNIÓN FENOSA DISTRIBUCIÓN;SAN PEDRO MEZONZO;UF GALICIA-COSTA;TAMBRE;;;;1;;;;;;;;;;;
RO1-0892;MEZONZO GRUPO 2;DEFINITIVO;Vilasantar;Vilasantar;A CORUÑA;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;09.03.1984 00:00;HIDRÁULICA;EMBALSE;0,650;0,460;0,455;15,000;UNIÓN FENOSA DISTRIBUCIÓN;SAN PEDRO MEZONZO;UF GALICIA-COSTA;TAMBRE;;;;1;;;;;;;;;;;
RO1-0895;LOS PEARES GRUPO 1;DEFINITIVO;CARBALLEDO;Carballedo;LUGO;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;08.10.1953 00:00;HIDRÁULICA;EMBALSE;62,400;60,850;59,990;132,000;UNIÓN FENOSA DISTRIBUCIÓN;LOS PEARES;UF MIÑO;MIÑO;;;;1;;;;;;;;;;;
RO1-0896;LOS PEARES GRUPO 2;DEFINITIVO;Carballedo;Carballedo;LUGO;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;22.04.1954 00:00;HIDRÁULICA;EMBALSE;62,400;61,630;60,390;132,000;UNIÓN FENOSA DISTRIBUCIÓN;LOS PEARES;UF MIÑO;MIÑO;;;;1;;;;;;;;;;;
RO1-0897;LOS PEARES GRUPO 3;DEFINITIVO;Carballedo;Carballedo;LUGO;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;03.01.1955 00:00;HIDRÁULICA;EMBALSE;60,670;61,530;60,640;132,000;UNIÓN FENOSA DISTRIBUCIÓN;LOS PEARES;UF MIÑO;MIÑO;;;;1;;;;;;;;;;;
RO1-0898;EL PELGO GRUPO 1;DEFINITIVO;;Villadecanes;LEON;NATURGY GENERACIÓN, S.L.U.;Avenida de San Luis 77;Madrid;28033;MADRID;100,00;;;;;;;01.09.1925 00:00;HIDRÁULICA;EMBALSE;0,200;0,200;0,170;15,000;UNIÓN FENOSA DISTRIBUCIÓN;EL PELGO;UF GALICIA-COSTA;BURBIA;;;;1;;;;;;;;;;;
