id,efficiency_net,efficiency_gross,efficiency_comment,date,efficiency_source,source_type
BNA0116,0.42,,,2015-28-10,https://www.enbw.com/unternehmen/konzern/energieerzeugung/fossile-energie/standorte.html,A
BNA0122,0.35,,,2015-30-10,https://www.greenpeace.de/sites/www.greenpeace.de/files/publications/vattenfalls-chance-roadmap-150424.pdf (S.15),A
BNA0123,0.35,,,2015-30-10,https://www.greenpeace.de/sites/www.greenpeace.de/files/publications/vattenfalls-chance-roadmap-150424.pdf (S.15),A
BNA0124,0.423,,,2015-30-10,https://www.greenpeace.de/sites/www.greenpeace.de/files/publications/vattenfalls-chance-roadmap-150424.pdf (S.16),A
BNA0183,0.4,,,2016-05-01,https://books.google.de/books?id=3gjxbjLZUIcC&pg=PA44,
BNA0216b,0.45,,,2015-09-11,http://www.energystate.de/detail.php?lang=de&kat=project&id=183,B
BNA0220,0.54,,unsicher ob dieser Block gemeint ist,2015-20-11,https://www.swd-ag.de/ueber-uns/erzeugung/erzeugungslandschaften/heizkraftwerke/,A
BNA0221a,,0.68,angabe ungenau,2015-20-11,https://www.swd-ag.de/ueber-uns/erzeugung/erzeugungslandschaften/heizkraftwerke/,A
BNA0221b,,0.68,angabe ungenau,2015-20-11,https://www.swd-ag.de/ueber-uns/erzeugung/erzeugungslandschaften/heizkraftwerke/,A
BNA0221c,,0.68,angabe ungenau,2015-20-11,https://www.swd-ag.de/ueber-uns/erzeugung/erzeugungslandschaften/heizkraftwerke/,A
BNA0232c,,0.9,Brutto: KWK,2015-28-10,http://www.swp.de/ehingen/lokales/ehingen/Print-Stromrabatt-Kilowattstunde-Schotterwerk-Gigawatt-Biogas-Stromverbrauch-EEG-Beihilfe-Unternehmen-in-der-Region-sind-auf-Stromrabatt-angewiesen,
BNA0239,0.42,,S. 4,2015-02-11,https://www.vde.com/de/fg/ETG/Archiv/Arbeitsgebiete/Erzeugung/Seiten/Druckluftspeicher-Kraftwerke.aspx,A
BNA0245a,0.42,,,2015-23-11,http://www.energie-chronik.de/120212.htm,B
BNA0245b,0.42,,,2015-23-11,http://www.energie-chronik.de/120212.htm,B
BNA0251,0.346,,"Unter ""Informationen zum Kernkraftwerk"" zu finden",2015-02-11,http://www.eon.com/content/eon-com/de/about-us/structure/asset-finder/grohnde.html,A
BNA0253,0.36,,,2015-23-11,http://www.spd-saar.de/uploads/media/konzept_bergbau.pdf,A
BNA0256a,0.364,0.9,Brutto: KWK Wirkungsgrad,2015-23-11,https://www.umweltbundesamt.de/sites/default/files/medien/378/publikationen/climate_change_02_2014_kwk-ausbau_entwicklung_prognose_wirksamkeit_der_anreize_im_kwk-gesetz_0.pdf,A
BNA0256b,0.364,,,2015-01-12,http://stefanschroeter.com/539-neue-gasturbine-fuer-das-heizkraftwerk-erfurt-ost.html,B
BNA0284,0.4,,,2016-05-01,https://books.google.de/books?id=3gjxbjLZUIcC,
BNA0350,0.8,,,2015-23-11,https://www.vde.com/de/fg/ETG/Archiv/Aktuelles/Seiten/Goldisthal.aspx,A
BNA0381,0.35,,,2015-11-11,http://www.kkw-gundremmingen.de/kkw_z.php,A
BNA0382,0.35,,,2015-11-11,http://www.kkw-gundremmingen.de/kkw_z.php,A
BNA0389,,0.75,Brutto: KWK Wirkungsgrad,2015-17-11,http://www.mark-e.de/Home/Privatkunden/Mark-E/Erzeugung/Regionale-Erzeugung.aspx,B
BNA0392b,0.525,0.835,Brutto: KWK Wirkungsgrad,2015-23-11,"http://www.halle.eu/push.aspx?s=downloads/News/29628/pi_3_technische_daten.pdfvm=bv.108194040,d.bGg&cad=rja",B
BNA0403,0.36,,,2015-01-12,http://www.abendblatt.de/hamburg/article108154203/Naturschuetzer-sorgen-fuer-hoehere-Umweltbelastung.html,B
BNA0404,0.36,,,2015-01-12,http://www.abendblatt.de/hamburg/article108154203/Naturschuetzer-sorgen-fuer-hoehere-Umweltbelastung.html,B
BNA0410,0.577,,,2015-23-11,http://www.bwk-bund.de/fileadmin/Dokumente/Veranstaltungen/Kongresse/2011/FF-2-Schoepfer-Wasserkraft.pdf,A
BNA0411,0.577,,,2015-23-11,http://www.bwk-bund.de/fileadmin/Dokumente/Veranstaltungen/Kongresse/2011/FF-2-Schoepfer-Wasserkraft.pdf,A
BNA0413b,0.46,,,2015-17-11,http://www.rwe.com/web/cms/de/1770974/rwe-generation-se/standorte/deutschland/kw-westfalen/,A
BNA0413c,0.46,,,2015-17-11,http://www.rwe.com/web/cms/de/1770974/rwe-generation-se/standorte/deutschland/kw-westfalen/,A
BNA0418,0.55,,In der Quelle auch angabe zu GT WG,2015-20-11,http://www.enercity.de/infothek/downloads/broschueren/anlagen/hkw-linden-langinfo.pdf,A
BNA0419,0.38,0.8,Brutto: Nutzungsgrad inkl. WÃ¤rme,2015-20-11,http://www.enercity.de/infothek/downloads/broschueren/anlagen/kraftwerk-herrenhausen.pdf,A
BNA0439,0.36,,,2015-11-11,http://stefanschroeter.com/669-mibrag-expandiert-ins-helmstedter-revier.html#.VkNVIiuriHs,B
BNA0442,0.59,,,2015-17-11,http://www.mark-e.de/Home/Privatkunden/Mark-E/Erzeugung/Regionale-Erzeugung.aspx,A
BNA0443,0.75,,,2015-17-11,http://www.rwe.com/web/cms/de/2720904/g=2760602/rwe-generation-se/standorte/deutschland/psw-herdecke/,A
BNA0449,0.3,,,2015-23-11,http://www.rewag.de/fileadmin/news_archiv/pages/aktuell/newsdetail03ea.html?id=167/,A
BNA0450,0.4,,S. 3,2015-23-11,http://www.gvst.de/dokumente/fachbeitraege/GVSt-Jahresveranstaltung%202010_4.pdf,B
BNA0514,0.57,,"""rund 57%""",2015-28-10,https://www.enbw.com/unternehmen/konzern/energieerzeugung/fossile-energie/standorte.html,A
BNA0518b,0.46,0.58,Brutto: inkl. FernwÃ¤rme,2015-28-10,https://www.enbw.com/unternehmen/konzern/energieerzeugung/fossile-energie/standorte.html,A
BNA0526,0.39,,S. 6,2015-23-11,http://www.bund.net/fileadmin/bundnet/publikationen/energie/20070628_energie_stilllegungsluege_kohlekraftwerke_klimafakten.pdf,A
BNA0543,,0.84,Netto: Gesamtwirkungsgrad der Anlage,--,,
BNA0545,0.58,,,2015-17-11,http://www.rheinenergie.com/media/portale/downloads_4/rheinenergie_1/flyer/Heizkraftwerk-Niehl-II.pdf,A
BNA0546,0.53,0.84,Netto: Gesamtwirkungsgrad der Anlage,--,,
BNA0548b,0.592,,,2015-23-11,http://www.siemens.com/press/de/pressemitteilungen/?press=/de/pressemitteilungen/2013/energy/fossil-power-generation/efp201306040.htm&content[]=EF&content[]=EP&content[]=PG,A
BNA0558,0.75,,,2015-23-11,http://www.statkraft.de/globalassets/old-contains-the-old-folder-structure/documents/de/kraftwerke-in-deutschland/erzhausen_fb_2014_rz3mini.pdf,A
BNA0574,0.35,,,2015-23-11,http://www.buerger-fuer-technik.de/KurzInfo355.pdf,B
BNA0602,0.46,,C1 und C2 zusammen,2015-17-11,http://www.rwe.com/web/cms/de/1770644/rwe-generation-se/standorte/deutschland/kw-emsland/,A
BNA0603,0.46,,B1 und B2 zusammen,2015-17-11,http://www.rwe.com/web/cms/de/1770644/rwe-generation-se/standorte/deutschland/kw-emsland/,A
BNA0604,0.46,,B1 und B2 zusammen,2015-17-11,http://www.rwe.com/web/cms/de/1770644/rwe-generation-se/standorte/deutschland/kw-emsland/,A
BNA0605,0.46,,C1 und C2 zusammen,2015-17-11,http://www.rwe.com/web/cms/de/1770644/rwe-generation-se/standorte/deutschland/kw-emsland/,A
BNA0606,0.592,,,2015-17-11,http://www.rwe.com/web/cms/de/1770644/rwe-generation-se/standorte/deutschland/kw-emsland/,A
BNA0607,0.345,,S. 22,2015-11-11,http://www.rwe.com/app/Pressecenter/Download.aspx?pmid=4003986&datei=1,A
BNA0614b,0.43,,unsicher ob dieses Kraftwerk gemeint ist,2015-29-10,http://www.ingenieur.de/Politik-Wirtschaft/Unternehmen/BASF-setzt-autarke-Energieversorgung,B
BNA0618,0.36,,unsicher ob dieses Kraftwerk gemeint ist,2015-23-11,http://www.trianel-luenen.de/pm/trianel-kohlekraftwerk-luenen-ausgezeichnet-1/,B
BNA0619,0.36,,unsicher ob dieses Kraftwerk gemeint ist,2015-23-11,http://www.trianel-luenen.de/pm/trianel-kohlekraftwerk-luenen-ausgezeichnet-1/,B
BNA0626,0.58,,,2015-17-11,http://www.kmw-ag.de/02_03kraftwerk3.html,A
BNA0646b,0.464,,,2015-09-11,http://www.gkm.de/media/?file=517_GKM_Block_9_Folder_DE.pdf&download,B
BNA0652,0.75,,,2015-23-11,http://ins-erzgebirge.de/ausflugsziel.php?id=260,B
BNA0661,0.38,,,2015-03-11,http://www.marlaktuell.de/?p=123972,C
BNA0669,0.74,,,2015-29-10,http://www.gea.de/region+reutlingen/neckar+erms/pumpspeicherkraftwerk+in+glems+lecks+per+knopfdruck+schliessbar.2714095.htm,B
BNA0696,0.33,,,2015-17-11,https://de.wikipedia.org/wiki/Kraftwerk_Neurath,C
BNA0697,0.33,,,2015-17-11,https://de.wikipedia.org/wiki/Kraftwerk_Neurath,C
BNA0698,0.33,,,2015-17-11,https://de.wikipedia.org/wiki/Kraftwerk_Neurath,C
BNA0699,0.366,,,2015-17-11,http://www.nf-niederaussem.de/fileadmin/pdf/03_Praesentation_Aktueller_Stand_der_Technik__Dr._Eichholz_.pdf,C
BNA0700,0.366,,,2015-17-11,http://www.nf-niederaussem.de/fileadmin/pdf/03_Praesentation_Aktueller_Stand_der_Technik__Dr._Eichholz_.pdf,C
BNA0702,,0.8,Brutto: KWK Wirkungsgrad,2015-29-10,http://www.bayernoil.de/fileadmin/downloadpool/Umwelterklaerung_2006/BO_Umwelterklaerung_2006.pdf,B
BNA0705,0.358,,,2015-17-11,http://www.nf-niederaussem.de/fileadmin/pdf/03_Praesentation_Aktueller_Stand_der_Technik__Dr._Eichholz_.pdf,A
BNA0706,0.358,,,2015-17-11,http://www.nf-niederaussem.de/fileadmin/pdf/03_Praesentation_Aktueller_Stand_der_Technik__Dr._Eichholz_.pdf,A
BNA0709,0.43,,,2015-17-11,http://www.rwe.com/web/cms/de/60132/rwe-power-ag/energietraeger/braunkohle/standorte/kw-niederaussem/,A
BNA0713,0.358,,,2015-17-11,http://www.nf-niederaussem.de/fileadmin/pdf/03_Praesentation_Aktueller_Stand_der_Technik__Dr._Eichholz_.pdf,A
BNA0721,0.62,,,2015-23-11,http://www.lars-rohwer.de/inhalte/2/aktuelles/67892/das-pumpspeicherwerk-niederwartha-zeitgemaess-und-gewollt-/index.html,B
BNA0722,0.62,,,2015-23-11,http://www.lars-rohwer.de/inhalte/2/aktuelles/67892/das-pumpspeicherwerk-niederwartha-zeitgemaess-und-gewollt-/index.html,B
BNA0742,,0.85,Brutto: KWK WG,2015-17-11,https://www.n-ergie.de/header/die-n-ergie/aktiv-fuer-die-umwelt/erneuerbare-energien.html,B
BNA0743,,0.85,Brutto: KWK WG,2015-17-11,https://www.n-ergie.de/header/die-n-ergie/aktiv-fuer-die-umwelt/erneuerbare-energien.html,B
BNA0785,0.375,,,2015-28-10,http://corporate.vattenfall.de/newsroom/pressemeldungen/pressemeldungen-import/janschwalde-verringert-seine-co2-bilanz-weiter,
BNA0786,0.375,,,2015-28-10,http://corporate.vattenfall.de/newsroom/pressemeldungen/pressemeldungen-import/janschwalde-verringert-seine-co2-bilanz-weiter,
BNA0787,0.375,,,2015-28-10,http://corporate.vattenfall.de/newsroom/pressemeldungen/pressemeldungen-import/janschwalde-verringert-seine-co2-bilanz-weiter,
BNA0788,0.375,,,2015-28-10,http://corporate.vattenfall.de/newsroom/pressemeldungen/pressemeldungen-import/janschwalde-verringert-seine-co2-bilanz-weiter,
BNA0789,0.375,,,2015-28-10,http://corporate.vattenfall.de/newsroom/pressemeldungen/pressemeldungen-import/janschwalde-verringert-seine-co2-bilanz-weiter,
BNA0790,0.375,,,2015-28-10,http://corporate.vattenfall.de/newsroom/pressemeldungen/pressemeldungen-import/janschwalde-verringert-seine-co2-bilanz-weiter,
BNA0793,0.42,,,2015-02-11,http://www.eon.com/content/eon-com/de/about-us/structure/asset-finder/heyden.html,B
BNA0804b,,0.88,Brutto: KWK WG,2015-01-12,https://www.eon.de/pk/de/energiezukunft/erneuerbare-energien/technologie/dezentrale-erzeugung/vor-ort.html,A
BNA0814,,0.88,Brutto: KWK Wirkungsgrad,2015-03-11,https://www.swp-potsdam.de/swp/de/energie/ueber-uns-ewp/umweltschutz-ewp/kraftwerk-ewp/st_kraftwerk.php,A
BNA0820,0.37,,,2015-23-11,http://www.spd-saar.de/uploads/media/konzept_bergbau.pdf,A
BNA0832,,0.88,Brutto: KWK WG,2015-09-11,https://www.fairenergie.de/08_presse/pressearchiv-artikel.php?id=548,B
BNA0842b,0.487,0.9,Brutto: KWK Wirkungsgrad,2015-20-11,http://www.stadt-und-werk.de/meldung_15802_Motor+f%C3%BCr+die+Energiewende.html,B
BNA0848,,0.88,Brutto: KWK Wirkungsgrad,2015-20-11,http://rathaus.rostock.de/sixcms/media.php/144/SWRAG%20Vortrag%20Fernw%C3%A4rme.pdf,A
BNA0849,0.432,,,2015-29-10,http://www.kraftwerk-rostock.de/#/kraftwerk/fakten/,A
BNA0861b,0.42,,S. 14,2015-03-11,https://www.energie-saarlorlux.com/wp-content/broschueren/Broschuere-Heizkraftwerk.pdf,A
BNA0878,0.4,,,2015-02-11,https://library.e.abb.com/public/17a12f32273be6a4c1256ddd00346e97/13-18m225.pdf,B
BNA0879,0.4,,,2015-02-11,https://library.e.abb.com/public/17a12f32273be6a4c1256ddd00346e97/13-18m225.pdf,B
BNA0914,0.41,,"allgemeine angabe von 41-43 % fÃ¼r Schwarze Pumpe, Lippendorf, Boxberg",2015-30-10,???,
BNA0915,0.41,,"allgemeine angabe von 41-43 % fÃ¼r Schwarze Pumpe, Lippendorf, Boxberg",2015-30-10,???,
BNA0937,0.23,0.85,Quelle fraglich,--,,
BNA0938,0.23,0.85,Quelle fraglich,--,,
BNA0939b,0.23,0.85,Quelle fraglich,--,,
BNA0946a,0.8,,S.43,2015-11-11,http://www.gdfsuez-energysales.de/sites/default/files/upload/dokumente/2013_gsed_aktivitaetenbericht.pdf,B
BNA0957,,0.84,Brutto: Gesamtwirkungsgrad nach Modernisierung 2013,2015-20-11,http://www.swtue.de/fileadmin/user_upload/6Waerme/SWT_TueWaerme_Fernwaerme_Info_1310_web.pdf,B
BNA0989,0.382,,Gesamwirkungsgrad der Anlage,2015-23-11,http://www.steag-energyservices.com/fileadmin/user_upload/steag-energyservices.com/unsere_leistungen/energy_technologies/plant_process_engeneering/refblatt_voerde_rea_d_neu.pdf,A
BNA0990,0.382,,Gesamwirkungsgrad der Anlage,2015-23-11,http://www.steag-energyservices.com/fileadmin/user_upload/steag-energyservices.com/unsere_leistungen/energy_technologies/plant_process_engeneering/refblatt_voerde_rea_d_neu.pdf,A
BNA0991,0.387,,Gesamtwirkungsgrad der Anlage,2015-17-11,http://www.steag-energyservices.com/fileadmin/user_upload/steag-energyservices.com/unsere_leistungen/energy_technologies/plant_process_engeneering/refblatt_voerde_rea_d_neu.pdf,A
BNA0992,0.387,,Gesamtwirkungsgrad der Anlage,2015-17-11,http://www.steag-energyservices.com/fileadmin/user_upload/steag-energyservices.com/unsere_leistungen/energy_technologies/plant_process_engeneering/refblatt_voerde_rea_d_neu.pdf,A
BNA0994,0.597,,,2015-02-11,http://www.eon.com/content/eon-com/de/about-us/structure/asset-finder/irsching.html,A
BNA0995,0.604,,,2015-02-11,http://www.eon.com/content/eon-com/de/about-us/structure/asset-finder/irsching.html,A
BNA0998,0.4,,Quelle fraglich,2015-23-11,http://www.voelklingen-im-wandel.de/stadtteile-fenne.php,B
BNA0999,0.37,,,2015-23-11,http://www.spd-saar.de/uploads/media/konzept_bergbau.pdf,A
BNA1002,0.385,,S. 5,2015-17-11,http://www.mibrag.de/media/1355133007.pdf,B
BNA1015,0.55,,Welt.de als Quelle?,2015-30-10,http://www.welt.de/print/die_welt/hamburg/article108358316/Neues-Kraftwerk-in-Wedel-Innovation-Fehlanzeige.html,B
BNA1016,0.55,,Welt.de als Quelle?,2015-30-10,http://www.welt.de/print/die_welt/hamburg/article108358316/Neues-Kraftwerk-in-Wedel-Innovation-Fehlanzeige.html,B
BNA1023,0.5,,,2016-05-01,https://de.wikipedia.org/wiki/Kraftwerk_Weisweiler,C
BNA1024,0.5,,,2016-05-01,https://de.wikipedia.org/wiki/Kraftwerk_Weisweiler,C
BNA1025,0.33,,,2016-05-01,https://de.wikipedia.org/wiki/Kraftwerk_Weisweiler,C
BNA1026,0.33,,,2016-05-01,https://de.wikipedia.org/wiki/Kraftwerk_Weisweiler,C
BNA1027,0.36,,,2016-05-01,https://books.google.de/books?id=3gjxbjLZUIcC&pg=PA44,B
BNA1028,0.36,,,2016-05-01,https://books.google.de/books?id=3gjxbjLZUIcC&pg=PA44,B
BNA1031,0.73,,"Vor der Modernisierung 2012, aktuell 0,78 http://corporate.vattenfall.de/newsroom/pressemeldungen/2014/fit-fur-die-energiewende-pumpspeicherwerk-wendefurth-geht-wieder-in-betrieb/",2015-23-11,http://www.stromtip.de/rubrik2/20223/Reportage-Pumpspeicherwerke-sollen-ein-Eckpfeiler-der-Energiewende-werden.html,B
BNA1032,0.73,,"Vor der Modernisierung 2012, aktuell 0,78 http://corporate.vattenfall.de/newsroom/pressemeldungen/2014/fit-fur-die-energiewende-pumpspeicherwerk-wendefurth-geht-wieder-in-betrieb/",2015-23-11,http://www.stromtip.de/rubrik2/20223/Reportage-Pumpspeicherwerke-sollen-ein-Eckpfeiler-der-Energiewende-werden.html,B
BNA1039,0.41,,Kombiprozess,2015-17-11,http://www.rwe.com/web/cms/de/1770664/rwe-generation-se/standorte/deutschland/kw-gersteinwerk/,A
BNA1040,0.41,,Kombiprozess,2015-17-11,http://www.rwe.com/web/cms/de/1770664/rwe-generation-se/standorte/deutschland/kw-gersteinwerk/,A
BNA1041,0.41,,Kombiprozess,2015-17-11,http://www.rwe.com/web/cms/de/1770664/rwe-generation-se/standorte/deutschland/kw-gersteinwerk/,A
BNA1042,0.41,,Kombiprozess,2015-17-11,http://www.rwe.com/web/cms/de/1770664/rwe-generation-se/standorte/deutschland/kw-gersteinwerk/,A
BNA1043,0.41,,Kombiprozess,2015-17-11,http://www.rwe.com/web/cms/de/1770664/rwe-generation-se/standorte/deutschland/kw-gersteinwerk/,A
BNA1044,0.41,,Kombiprozess,2015-17-11,http://www.rwe.com/web/cms/de/1770664/rwe-generation-se/standorte/deutschland/kw-gersteinwerk/,A
BNA1045,0.41,,Kombiprozess,2015-17-11,http://www.rwe.com/web/cms/de/1770664/rwe-generation-se/standorte/deutschland/kw-gersteinwerk/,A
BNA1061,0.4,,,2015-02-11,http://www.bund-niedersachsen.de/themen/kohlekraftwerke/kraftwerks_plaene/wilhelmshaven/,A
BNA1076a,,0.591,Quelle fraglich,2015-23-11,http://biowasserstoff-magazin.richey-web.de/pdf/Themen_Energie_sparen_mit_BZ.pdf,B
BNA1076b,,0.591,Quelle fraglich,2015-23-11,http://biowasserstoff-magazin.richey-web.de/pdf/Themen_Energie_sparen_mit_BZ.pdf,B
BNA1085,0.25,0.77,http://asue.de/sites/default/files/asue/termine_veranstaltungen/2010/fachveranstaltung2010/vortraege/11_vortrag_lewetz_hkw_wuerzburg.pdf,2015-11-11,,
BNA1086,0.25,0.77,,2015-11-11,http://asue.de/sites/default/files/asue/termine_veranstaltungen/2010/fachveranstaltung2010/vortraege/11_vortrag_lewetz_hkw_wuerzburg.pdf,A
BNA1087,0.5,0.88,angabe fÃ¼r das HKW gesamt,2015-11-11,http://asue.de/sites/default/files/asue/termine_veranstaltungen/2010/fachveranstaltung2010/vortraege/11_vortrag_lewetz_hkw_wuerzburg.pdf,A
BNA1088,0.5,0.88,S. 21,2015-11-11,http://asue.de/sites/default/files/asue/termine_veranstaltungen/2010/fachveranstaltung2010/vortraege/11_vortrag_lewetz_hkw_wuerzburg.pdf,A
BNA1138,,0.84,Brutto: KWK Wirkungsgrad,2015-20-11,http://www.stadtwerke-erkrath.de/unternehmen/anlagen.html,A
BNA1182,0.53,,nur der Gesamtwirkungsgrad angegeben,2015-17-11,http://www.rheinenergie.com/media/portale/downloads_4/rheinenergie_1/broschueren_1/Vereinfachte_Umwelterklaerung_der_Standorte_Koeln-Merkenich_und_Koeln-Niehl_2011.pdf,A
BNA1328,,0.9,nur info inklusive WÃ¤rme,2015-11-11,http://www.energiespektrum.de/index.cfm?pid=1705&pk=60450#.VkNNPiuriHs,B
BNA1401a,0.43,,,2015-17-11,http://www.rwe.com/web/cms/de/1859744/rwe-generation-se/standorte/deutschland/kw-neurath-boa-2-3/,A
BNA1401b,0.43,,,2015-17-11,http://www.rwe.com/web/cms/de/1859744/rwe-generation-se/standorte/deutschland/kw-neurath-boa-2-3/,A
BNA1404,0.437,,,2015-30-10,http://corporate.vattenfall.de/energie-im-fokus/energieproduktion/kohle/boxberg-block-r/,A
BNA1437,,0.85,,2015-29-10,http://www.abendblatt.de/hamburg/harburg/article121658500/Klares-Bekenntnis-zum-Wirtschaftsstandort-Stade.html,B
BNA1465a,0.75,,"""> 75%""",2015-29-10,http://asa-ev.eu/fileadmin/asa.medien/steckbriefe/PLZ_3/146-147_Umweltdienste_Bohn.pdf,B
BNA1487,,0.41,,2015-11-11,http://www.asue.de/sites/default/files/asue/termine_veranstaltungen/2011/fachveranstaltung2011/vortraege/07_krein.pdf,A
BNA1502,,0.86,Brutto: inkl. FernwÃ¤rme nach Modernisierung,2015-23-11,http://www.wz-newsline.de/lokales/krefeld/heizkraftwerk-ein-block-fuer-2000-haeuser-1.634702,B
BNA1508,0.4595,,,2015-23-11,http://www.trianel.com/de/pressemeldungen/details/article//trianel-kohlekraftwerk-luenen-9.html,A
BNA1509,,0.8,Brutto: KWK Wirkungsgrad,2015-29-10,http://www.bp.com/content/dam/bp/pdf/sustainability/country-reports/Lingen_VSR_2011.pdf,A
BNA1528,0.4276,,S. 44,2015-20-11,http://www.umweltinnovationsprogramm.de/sites/default/files/benutzer/36/dokumente/20140830_endbericht_uip_projektnr_1785_sw_kempen.pdf,A
BNA1531,0.39,,,2015-11-11,http://stefanschroeter.com/component/content/article.html?id=693:flinke-gasturbine-waermt-russisches-pipelinegas#.VkNWMCuriHs,B
BNA1558,0.465,,,2015-27-10,http://corporate.vattenfall.de/uber-uns/geschaftsfelder/erzeugung/bauprojekte/Moorburg/Baustein_fuer_den_Klimaschutz/,
