id;efficiency_net;efficiency_gross;efficiency_comment;date;efficiency_source;source_type
BNA0284;0.4;;;05.01.2016;https://books.google.de/books?id=3gjxbjLZUIcC&pg=PA44&lpg=PA44&dq=Grevenbroich-Frimmersdorf+wirkungsgrad&source=bl&ots=Ov4NMifXMN&sig=9UFMsjWijfvUpdU2_A-dtbyh_tw&hl=de&sa=X&ved=0ahUKEwiki-rIupLKAhXFfw8KHe3cDRwQ6AEIQzAH#v=onepage&q=Grevenbroich-Frimmersdorf%20wirkungsgrad&f=false;B
BNA0285;;;;17.11.2015;;
BNA0286;;;;17.11.2015;;
BNA0287a;;;;;;
BNA0287b;;;;;;
BNA0288;;;;;;
BNA0289a;;;;17.11.2015;;
BNA0289b;;;;;;
BNA0290;;;;;;
BNA0291;;;;;;
BNA0292;;;;;;
BNA0293;;;;17.11.2015;;
BNA0294;;;;;;
BNA0295;;;;;;
BNA0296;;;;;;
BNA0297;;;;;;
BNA0298;;;;;;
BNA0299;;;;;;
BNA0300;;;;;;
BNA0301;;;;;;
BNA0313;;;;;;
BNA0314;;;;;;
BNA0315;;;;;;
BNA0316;;;;;;
BNA0318;;;;17.11.2015;;
BNA0319;;;;;;
BNA0321;;;;;;
BNA0322;;;;;;
BNA0323;;;;;;
BNA0324;;;;;;
BNA0325;;;;;;
BNA0327;;;;23.11.2015;;
BNA0328;;;;23.11.2015;;
BNA0329;;;;23.11.2015;;
BNA0331;;;;02.11.2015;;
BNA0332;;;;02.11.2015;;
BNA0336;;;;02.11.2015; ;
BNA0337;;;;;;
BNA0338;;;;;;
BNA0339;;;;;;
BNA0340;;;;;;
BNA0341;;;;;;
BNA0342;;;;;;
BNA0343;;;;03.11.2015;;
BNA0345a;;;;;;
BNA0345b;;;;;;
BNA0346;;;;;;
BNA0347;;;;;;
BNA0348;;;;;;
BNA0349;;;;;;
BNA0350;0.8;;;23.11.2015;https://www.vde.com/de/fg/ETG/Archiv/Aktuelles/Seiten/Goldisthal.aspx;A
BNA0351;;;;23.11.2015;;
BNA0352;;;;23.11.2015;;
BNA0353;;;;23.11.2015;;
BNA0354;;;;;;
BNA0356;;;;;;
BNA0360;;;;;;
BNA0361;;;;01.12.2015;;
BNA0362;;;;;;
BNA0364;;;;;;
BNA0365;;;;;;
BNA0366;;;;;;
BNA0367;;;;;;
BNA0368;;;;;;
BNA0369;;;;03.11.2015;;
BNA0370;;;;;;
BNA0371;;;;;;
BNA0372;;;;;;
BNA0373;;;;03.11.2015;;
BNA0374;;;;02.11.2015;;
BNA0377;;;;02.11.2015;;
BNA0378;;;;02.11.2015;;
BNA0379;;;;02.11.2015;;
BNA0380;;;;;;
BNA0381;0.35;;;11.11.2015;http://www.kkw-gundremmingen.de/kkw_z.php;A
BNA0382;0.35;;;11.11.2015;http://www.kkw-gundremmingen.de/kkw_z.php;A
BNA0383;;;;;;
BNA0385;;;;;;
BNA0386;;;;17.11.2015;;
BNA0387;;;;;;
BNA0388;;;;;;
BNA0389;;0.75;Brutto: KWK Wirkungsgrad;17.11.2015;http://www.mark-e.de/Home/Privatkunden/Mark-E/Erzeugung/Regionale-Erzeugung.aspx;B
BNA0390;;;;;;
BNA0391;;;;;;
BNA0392a;;;;03.11.2015;;
BNA0392b;0.525;0.835;Brutto: KWK Wirkungsgrad;23.11.2015;https://www.google.de/url?sa=t&rct=j&q=&esrc=s&source=web&cd=5&ved=0ahUKEwiJ8rrU2qbJAhUF_iwKHSr1ChwQFgg4MAQ&url=http%3A%2F%2Fwww.halle.eu%2Fpush.aspx%3Fs%3Ddownloads%2FNews%2F29628%2Fpi_3_technische_daten.pdf&usg=AFQjCNEeZwy7_KGWV3OQKSVdwycEK9rspg&sig2=hitqR6YF1CTtgFZjp5oT6Q&bvm=bv.108194040,d.bGg&cad=rja;B
BNA0394;;;;;;
BNA0395;;;;23.11.2015;;
BNA0396;;;;23.11.2015;;
BNA0397;;;;23.11.2015;;
BNA0398;;;;;;
BNA0399;;;;;;
BNA0400;;;;23.11.2015;;
BNA0401;;;;29.10.2015;;
BNA0402;;;;23.11.2015;;
BNA0403;0.36;;;01.12.2015;http://www.abendblatt.de/hamburg/article108154203/Naturschuetzer-sorgen-fuer-hoehere-Umweltbelastung.html;B
BNA0404;0.36;;;01.12.2015;http://www.abendblatt.de/hamburg/article108154203/Naturschuetzer-sorgen-fuer-hoehere-Umweltbelastung.html;B
BNA0405a;;;;;;
BNA0405b;;;;;;
BNA0406;;;;;;
BNA0407;;;;;;
BNA0408;;;;;;
BNA0409;;;;;;
BNA0410;0.577;;;23.11.2015;http://www.bwk-bund.de/fileadmin/Dokumente/Veranstaltungen/Kongresse/2011/FF-2-Schoepfer-Wasserkraft.pdf;A
BNA0411;0.577;;;23.11.2015;http://www.bwk-bund.de/fileadmin/Dokumente/Veranstaltungen/Kongresse/2011/FF-2-Schoepfer-Wasserkraft.pdf;A
BNA0413a;;;;;;
BNA0413b;0.46;;;17.11.2015;http://www.rwe.com/web/cms/de/1770974/rwe-generation-se/standorte/deutschland/kw-westfalen/;A
BNA0413c;0.46;;;17.11.2015;http://www.rwe.com/web/cms/de/1770974/rwe-generation-se/standorte/deutschland/kw-westfalen/;A
BNA0416;;;;;;
BNA0417;;;;;;
BNA0418;0.55;;In der Quelle auch angabe zu GT WG;20.11.2015;http://www.enercity.de/infothek/downloads/broschueren/anlagen/hkw-linden-langinfo.pdf;A
BNA0419;0.38;0.8;Brutto: Nutzungsgrad inkl. Wärme;20.11.2015;http://www.enercity.de/infothek/downloads/broschueren/anlagen/kraftwerk-herrenhausen.pdf;A
BNA0420;;;;20.11.2015;;
BNA0421;;;;20.11.2015;;
BNA0422;;;;02.11.2015; ;
BNA0423;;;;;;
BNA0424;;;;;;
BNA0425;;;;;;
BNA0426;;;;17.11.2015;;
BNA0427;;;;17.11.2015;;
BNA0428;;;;17.11.2015;;
BNA0429;;;;17.11.2015;;
BNA0430;;;;17.11.2015;;
BNA0431a;;;;;;
BNA0431b;;;;;;
BNA0432;;;;23.11.2015;;
BNA0433;;;;23.11.2015;;
BNA0434;;;Nach Modernisierung 40%;23.11.2015;"http://www.stimme.de/heilbronn/nachrichten/region/sonstige-Waschanlage-fuer-die-Kohlekraft;art16305,1901538";B
BNA0435;;;;;;
BNA0436;;;;;;
BNA0437;;;;;;
BNA0438;;;;;;
BNA0439;0.36;;;11.11.2015;http://stefanschroeter.com/669-mibrag-expandiert-ins-helmstedter-revier.html#.VkNVIiuriHs;B
BNA0440;;;;;;
BNA0441;;;;;;
BNA0442;0.59;;;17.11.2015;http://www.mark-e.de/Home/Privatkunden/Mark-E/Erzeugung/Regionale-Erzeugung.aspx;A
BNA0443;0.75;;;17.11.2015;http://www.rwe.com/web/cms/de/2720904/g=2760602/rwe-generation-se/standorte/deutschland/psw-herdecke/;A
BNA0444;;;;;;
BNA0445;;;;;;
BNA0449;0.3;;;23.11.2015;http://www.rewag.de/fileadmin/news_archiv/pages/aktuell/newsdetail03ea.html?id=167/;A
BNA0450;0.4;;S. 3;23.11.2015;http://www.gvst.de/dokumente/fachbeitraege/GVSt-Jahresveranstaltung%202010_4.pdf;B
BNA0451;;;;;;
BNA0452;;;;;;
BNA0453;;;;;;
BNA0454;;;;;;
BNA0455;;;;;;
BNA0463b;;;;;;
BNA0464;;;nache Wirkungsgradsteigerung 2003 40,5%;20.11.2015;http://www.enercity.de/unternehmen/anlagen-portraet/strom/kw-mehrum/index.html;A
BNA0465;;;;23.11.2015;;
BNA0466;;;;23.11.2015;;
BNA0467;;;;23.11.2015;;
BNA0468;;;;23.11.2015;;
BNA0469;;;;23.11.2015;;
BNA0470;;;;23.11.2015;;
BNA0471;;;;23.11.2015;;
BNA0472;;;;23.11.2015;;
BNA0473;;;;23.11.2015;;
BNA0474;;;;23.11.2015;;
BNA0475;;;;;;
BNA0481;;;;;;
BNA0482;;;;;;
BNA0483;;;;;;
BNA0484;;;;;;
BNA0485;;;;;;
BNA0486;;;;;;
BNA0487;;;;;;
BNA0488;;;;;;
BNA0490a;;;;17.11.2015;;
BNA0491;;;;;;
BNA0492;;;;;;
BNA0493;;;;;;
BNA0494;;;;;;
BNA0495a;;;;;;
BNA0495b;;;;;;
BNA0496;;;;;;
BNA0497;;;;11.11.2015;;
BNA0498;;;;;;
BNA0499;;;;11.11.2015;;
BNA0500;;;;;;
BNA0503;;;;;;
BNA0504;;;;;;
BNA0505;;;;;;
BNA0506;;;;;;
BNA0507a;;;;;;
BNA0507b;;;;;;
BNA0508;;;;;;
BNA0509;;;;;;
BNA0510a;;;;;;
BNA0510b;;;;23.11.2015;;
BNA0511;;;;;;
BNA0512;;;;;;
BNA0513;;;;;;
BNA0514;0.57;;"""rund 57%""";28.10.2015;https://www.enbw.com/unternehmen/konzern/energieerzeugung/fossile-energie/standorte.html;A
BNA0515;;;;;;
BNA0516;;;;;;
BNA0517;;;;;;
BNA0518a;;;;28.10.2015;;
BNA0518b;0.46;0.58;Brutto: inkl. Fernwärme;28.10.2015;https://www.enbw.com/unternehmen/konzern/energieerzeugung/fossile-energie/standorte.html;A
BNA0519;;;;;;
BNA0520;;;;;;
BNA0521;;;;20.11.2015;;
BNA0523;;;;;;
BNA0525;;;;;;
BNA0526;0.39;;S. 6;23.11.2015;http://www.bund.net/fileadmin/bundnet/publikationen/energie/20070628_energie_stilllegungsluege_kohlekraftwerke_klimafakten.pdf;A
BNA0527;;;;;;
BNA0529;;;;;;
BNA0530;;;;;;
BNA0531;;;;;;
BNA0532a;;;;;;
BNA0532b;;;;;;
BNA0533;;;;;;
BNA0536;;;;;;
BNA0537;;;;;;
